日期時間,雨量 (mm),日照度 (uE),大氣壓力 (mbar),環境溫度 (°C),環境濕度 (%),土壤濕度 (%),露點 (°C),風向 (deg),風速 (m/sec),陣風 (m/sec),土壤溫度 (°C),電力 (V)
2017-01-02 10:30:00,0,1241,1009.6,24.92,72.1,-12.24,19.57,323,0,2,27.95,4.43,
2017-01-02 11:00:00,0,1396,1009.1,26.16,67.7,-12.11,19.74,241,0.5,2.5,28.67,4.44,
2017-01-02 11:30:00,0,1446,1008.7,26.72,65.4,-12.11,19.72,201,0.5,2.5,29.04,4.43,
2017-01-02 12:00:00,0,1444,1008.2,27.41,60.9,-12.11,19.22,253,0.5,2.5,30.34,4.41,
2017-01-02 12:30:00,0,1374,1007.7,27.06,60.7,-11.98,18.84,247,0.5,3.5,29.66,4.4,
2017-01-02 13:00:00,0,1446,1007.2,27.21,59.3,-11.84,18.6,293,1,4,29.77,4.35,
2017-01-02 13:30:00,0,1276,1006.8,27.95,57,-11.84,18.66,307,0.5,3,31,4.35,
2017-01-02 14:00:00,0,1211,1006.6,27.51,54.7,-11.71,17.59,334,1,3,29.89,4.34,
2017-01-02 14:30:00,0,789,1006.2,27.33,56.5,-11.71,17.95,293,0.5,2.5,29.36,4.34,
2017-01-02 15:00:00,0,594,1006,26.57,60.3,-11.58,18.27,320,1,3,28.39,4.33,
2017-01-02 15:30:00,0,366,1005.9,26.35,61.6,-11.58,18.41,299,0,2.5,28.05,4.33,
2017-01-02 16:00:00,0,196,1006,25.5,62.7,-11.58,17.89,314,1,3.5,26.06,4.33,
2017-01-02 16:30:00,0,141,1006.2,25.04,67.6,-11.58,18.65,300,0.5,3.5,25.43,4.33,
2017-01-02 17:00:00,0,59,1006.4,24.19,70.8,-11.71,18.58,329,0.5,2.5,24.07,4.33,
2017-01-02 17:30:00,0,4,1006.8,23.59,74.7,-11.98,18.86,340,0,2,22.73,4.33,
2017-01-02 18:00:00,0,1,1007.2,22.2,80.8,-12.11,18.77,334,0,0.5,21.29,4.32,
2017-01-02 18:30:00,0,1,1007.4,21.84,84.3,-12.37,19.1,310,0,1,21.2,4.32,
2017-01-02 19:00:00,0,1,1007.7,21.37,85.3,-12.5,18.82,201,0,0.5,20.86,4.31,
2017-01-02 19:30:00,0,1,1007.9,20.86,86.8,-12.63,18.61,140,0,1,19.96,4.31,
2017-01-02 20:00:00,0,1,1008.2,20.56,88.8,-12.89,18.67,115,0,0,19.7,4.31,
2017-01-02 20:30:00,0,1,1008.4,20.7,87.9,-12.89,18.64,114,0,0.5,20.01,4.31,
2017-01-02 21:00:00,0,1,1008.4,20.53,88.8,-13.15,18.64,91,0,1.5,19.29,4.3,
2017-01-02 21:30:00,0,1,1008.6,20.56,86,-13.02,18.16,83,0,0.5,19.48,4.3,
2017-01-02 22:00:00,0,1,1008.7,20.27,88,-13.15,18.24,83,0,0,19.29,4.3,
2017-01-02 22:30:00,0,1,1008.7,19.7,91.2,-13.41,18.25,83,0,0,18.41,4.29,
2017-01-02 23:00:00,0,1,1008.7,19.84,89.9,-13.28,18.16,83,0,0,18.72,4.29,
2017-01-02 23:30:00,0,1,1008.7,20.2,88.2,-13.28,18.21,83,0,0,19.46,4.29,
2017-01-03 00:00:00,0,1,1008.7,20.25,86.6,-13.28,17.96,83,0,1,19.1,4.28,
2017-01-03 00:30:00,0,1,1008.7,19.37,91.3,-13.54,17.93,83,0,0.5,18.06,4.28,
2017-01-03 01:00:00,0,1,1008.7,19.22,89.9,-13.68,17.55,83,0,0,18.01,4.28,
2017-01-03 01:30:00,0,1,1008.4,19.17,88.7,-13.68,17.29,88,0,1.5,18.15,4.28,
2017-01-03 02:00:00,0,1,1008.4,18.72,92.6,-13.81,17.52,94,0,0,17.84,4.28,
2017-01-03 02:30:00,0,1,1008.2,19.01,91.6,-14.07,17.63,94,0,0,17.49,4.28,
2017-01-03 03:00:00,0,1,1008,18.7,92.3,-14.2,17.45,94,0,0.5,17.27,4.42,
2017-01-03 03:30:00,0,1,1008,18.98,91.2,-14.2,17.54,94,0,0,17.89,4.43,
2017-01-03 04:00:00,0,1,1008.1,18.72,91.5,-14.33,17.33,94,0,0,17.2,4.41,
2017-01-03 04:30:00,0,1,1008.2,18.68,92.4,-14.33,17.44,94,0,0,17.72,4.43,
2017-01-03 05:00:00,0,1,1008.2,17.2,95.6,-14.46,16.51,94,0,0,16.37,4.4,
2017-01-03 05:30:00,0,1,1008.6,17.61,96.1,-14.72,17,94,0,0,16.68,4.42,
2017-01-03 06:00:00,0,1,1008.4,17.42,96.4,-14.85,16.86,94,0,0.5,16.61,4.42,
2017-01-03 06:30:00,0,1,1008.7,17.51,96.8,-14.98,17.02,94,0,1,16.61,4.44,
2017-01-03 07:00:00,0,49,1008.9,17.7,96.8,-15.11,17.21,94,0,1,16.87,4.41,
2017-01-03 07:30:00,0,161,1009.2,18.22,95.6,-14.98,17.53,91,0,0,18.34,4.43,
2017-01-03 08:00:00,0,264,1009.4,19.53,93.1,-14.46,18.41,91,0,0,21.68,4.41,
2017-01-03 08:30:00,0,501,1009.5,20.75,90.8,-13.54,19.21,91,0,0.5,23.16,4.43,
2017-01-03 09:00:00,0,604,1009.5,20.98,91.1,-13.02,19.5,49,0,1,23.23,4.41,
2017-01-03 09:30:00,0,756,1009.5,22.92,80.5,-12.37,19.41,181,0,2,25.99,4.43,
2017-01-03 10:00:00,0,1001,1009.5,23.47,80.2,-12.24,19.89,206,0,1.5,26.06,4.41,
2017-01-03 10:30:00,0,649,1009.2,23.42,77.1,-11.84,19.21,201,0,2,26.5,4.41,
2017-01-03 11:00:00,0,1261,1008.6,24.65,73.8,-11.98,19.69,218,0,2,26.48,4.41,
2017-01-03 11:30:00,0,1221,1008.3,24.41,72.7,-11.84,19.22,264,0,1.5,26.7,4.4,
2017-01-03 12:00:00,0,1536,1007.4,25.14,71.1,-11.71,19.55,199,0,2,28.92,4.43,
2017-01-03 12:30:00,0,709,1007,25.91,67.7,-11.71,19.51,143,0,2.5,28.42,4.4,
2017-01-03 13:00:00,0,789,1006.6,25.43,68.3,-11.58,19.19,257,0.5,2.5,28.1,4.37,
2017-01-03 13:30:00,0,984,1006.2,26.11,63.5,-11.71,18.66,282,0.5,3,28.42,4.36,
2017-01-03 14:00:00,0,1041,1005.8,26.74,61.5,-11.71,18.75,268,0.5,2.5,30.24,4.35,
2017-01-03 14:30:00,0,446,1005.8,26.06,63.5,-11.45,18.62,178,0,2.5,28.2,4.35,
2017-01-03 15:00:00,0,339,1005.7,26.06,64.4,-11.45,18.84,310,0,2.5,27.73,4.34,
2017-01-03 15:30:00,0,114,1005.7,24.99,68.1,-11.45,18.72,298,0,1.5,25.26,4.34,
2017-01-03 16:00:00,0,61,1005.9,24.63,69.5,-11.58,18.7,347,0,1.5,24.77,4.33,
2017-01-03 16:30:00,0,56,1006.1,24.39,73,-11.71,19.26,358,0,0,24.63,4.33,
2017-01-03 17:00:00,0,14,1006.5,23.74,73.2,-11.71,18.68,316,0,3,23.62,4.33,
2017-01-03 17:30:00,0,1,1007,23.06,76.3,-11.71,18.69,324,0,2,22.78,4.33,
2017-01-03 18:00:00,0,1,1007.4,22.39,79.1,-11.98,18.62,333,0,1,21.84,4.32,
2017-01-03 18:30:00,0,1,1007.5,22.44,80.2,-11.98,18.88,333,0,0,22.3,4.32,
2017-01-03 19:00:00,0,1,1007.8,22.32,80.3,-11.84,18.79,298,0,0.5,22.3,4.32,
2017-01-03 19:30:00,0,1,1007.9,22.11,81.4,-11.84,18.8,202,0,1,22.06,4.32,
2017-01-03 20:00:00,0,1,1008.1,22.01,81.5,-11.98,18.72,185,0,0.5,21.72,4.31,
2017-01-03 20:30:00,0,1,1008.2,21.13,83.9,-12.24,18.32,185,0,0.5,20.13,4.31,
2017-01-03 21:00:00,0,1,1008.4,20.53,85.4,-12.37,18.02,146,0,1,19.6,4.31,
2017-01-03 21:30:00,0,1,1008.4,20.63,85.3,-12.24,18.09,112,0,1.5,20.25,4.31,
2017-01-03 22:00:00,0,1,1008.2,20.22,86.9,-12.37,17.99,104,0,2,19.1,4.3,
2017-01-03 22:30:00,0,1,1008.3,19.53,90.7,-12.76,17.99,100,0,2,18.89,4.3,
2017-01-03 23:00:00,0,1,1008,20.29,86.6,-12.63,18.01,149,0,1,19.41,4.29,
2017-01-03 23:30:00,0,1,1008,19.58,89.3,-12.76,17.79,126,0,1,18.68,4.29,
2017-01-04 00:00:00,0,1,1007.9,19.77,88.3,-12.89,17.8,126,0,1,18.89,4.29,
2017-01-04 00:30:00,0,1,1007.9,19.46,89.1,-12.89,17.64,126,0,0.5,18.25,4.29,
2017-01-04 01:00:00,0,1,1007.9,19.48,90,-13.15,17.82,126,0,0,18.77,4.29,
2017-01-04 01:30:00,0,1,1007.5,19.63,89.1,-13.02,17.8,125,0,1.5,19.01,4.29,
2017-01-04 02:00:00,0,1,1007.3,18.39,91.8,-13.15,17.05,108,0,1,17.56,4.28,
2017-01-04 02:30:00,0,1,1007.3,18.82,91.6,-13.28,17.44,108,0,0.5,17.65,4.28,
2017-01-04 03:00:00,0,1,1007,18.7,91.8,-13.28,17.36,108,0,0.5,17.61,4.4,
2017-01-04 03:30:00,0,1,1007.1,18.53,92.1,-13.41,17.25,108,0,0,17.49,4.41,
2017-01-04 04:00:00,0,1,1007.1,18.56,93.2,-13.41,17.46,108,0,0.5,17.8,4.44,
2017-01-04 04:30:00,0,1,1007.2,19.08,90.4,-13.28,17.49,108,0,0,18.37,4.42,
2017-01-04 05:00:00,0,1,1007.4,19.44,90.6,-13.28,17.88,108,0,1,18.91,4.4,
2017-01-04 05:30:00,0,1,1007.5,18.41,91.8,-13.41,17.08,108,0,1,17.39,4.41,
2017-01-04 06:00:00,0,1,1007.5,18.68,91.5,-13.54,17.29,108,0,0,17.25,4.41,
2017-01-04 06:30:00,0,1,1007.9,18.46,92.4,-13.68,17.23,108,0,0,17.39,4.42,
2017-01-04 07:00:00,0,44,1007.9,17.89,93.6,-13.81,16.87,108,0,0.5,17.39,4.41,
2017-01-04 07:30:00,0,184,1008.4,18.82,93.8,-13.68,17.82,108,0,0,19.13,4.4,
2017-01-04 08:00:00,0,281,1008.6,20.44,89.2,-12.89,18.62,108,0,0,22.11,4.41,
2017-01-04 08:30:00,0,561,1008.5,20.41,90.1,-12.63,18.76,70,0,0.5,22.11,4.41,
2017-01-04 09:00:00,0,756,1008.8,21.44,86.8,-12.11,19.17,354,0,2,23.09,4.41,
2017-01-04 09:30:00,0,944,1008.8,23.06,78.4,-11.98,19.13,338,0.5,1.5,24.12,4.4,
2017-01-04 10:00:00,0,1109,1008.8,24.92,73.1,-11.84,19.79,295,0,2,27.58,4.41,
2017-01-04 10:30:00,0,1211,1008.3,24.46,69.6,-11.71,18.56,15,0.5,2.5,26.57,4.41,
2017-01-04 11:00:00,0,1291,1007.6,25.38,67,-11.71,18.83,279,0.5,3,27.11,4.42,
2017-01-04 11:30:00,0,1534,1007.1,26.79,62.2,-11.71,18.98,337,0.5,2.5,29.82,4.42,
2017-01-04 12:00:00,0,1604,1006.5,26.82,61.4,-11.71,18.79,257,1,3.5,30.02,4.39,
2017-01-04 12:30:00,0,529,1006.2,25.36,65.3,-11.45,18.4,225,0,3,27.43,4.39,
2017-01-04 13:00:00,0,564,1005.5,25.45,64.1,-11.45,18.19,306,0.5,3,26.74,4.36,
2017-01-04 13:30:00,0,1176,1005.1,26.67,62.4,-11.58,18.91,274,0,3,30.19,4.35,
2017-01-04 14:00:00,0,1001,1004.7,26.74,59.7,-11.45,18.27,300,0.5,3,30.19,4.34,
2017-01-04 14:30:00,0,554,1004.5,26.18,63.5,-11.32,18.73,253,0.5,2.5,28.42,4.34,
2017-01-04 15:00:00,0,521,1004.6,26.23,62.2,-11.45,18.45,241,0,2,28.02,4.33,
2017-01-04 15:30:00,0,229,1004.6,25.48,65.3,-11.32,18.51,240,0,3,26.21,4.33,
2017-01-04 16:00:00,0,154,1004.6,25.06,68,-11.32,18.77,15,0,1.5,25.48,4.33,
2017-01-04 16:30:00,0,104,1004.9,24.22,71.7,-11.45,18.81,107,0,2.5,24.56,4.33,
2017-01-04 17:00:00,0,29,1005.4,23.66,74.2,-11.45,18.82,178,0,2.5,23.79,4.33,
2017-01-04 17:30:00,0,1,1005.6,23.38,75.2,-11.45,18.76,159,0,2,23.35,4.33,
2017-01-04 18:00:00,0,1,1005.8,23.09,76.3,-11.45,18.71,139,0,1,23.02,4.31,
2017-01-04 18:30:00,0,1,1006.2,22.66,77.9,-11.58,18.63,149,0,2,22.47,4.31,
2017-01-04 19:00:00,0,1,1006.5,22.39,79.7,-11.58,18.74,168,0,1.5,22.25,4.31,
2017-01-04 19:30:00,0,1,1006.8,22.39,81.5,-11.71,19.1,168,0,1.5,22.2,4.31,
2017-01-04 20:00:00,0,1,1006.9,22.15,80.6,-11.71,18.68,163,0,0.5,21.87,4.3,
2017-01-04 20:30:00,0,1,1006.7,21.29,85.5,-11.98,18.79,164,0,0.5,20.84,4.3,
2017-01-04 21:00:00,0,1,1006.6,20.58,87.3,-12.11,18.42,164,0,0.5,20.06,4.3,
2017-01-04 21:30:00,0,1,1006.8,20.7,86.6,-12.24,18.41,163,0,0,19.96,4.3,
2017-01-04 22:00:00,0,1,1006.7,20.06,88.7,-12.24,18.16,117,0,1,19.44,4.29,
2017-01-04 22:30:00,0,1,1006.7,20.29,86.9,-12.24,18.06,70,0,0,18.98,4.29,
2017-01-04 23:00:00,0,1,1006.8,20.06,88.6,-12.37,18.14,70,0,1,18.63,4.28,
2017-01-04 23:30:00,0,1,1006.7,19.67,89.9,-12.37,17.99,70,0,1,19.2,4.28,
2017-01-05 00:00:00,0,1,1006.5,20.15,90.2,-12.37,18.52,58,0,1,19.96,4.28,
2017-01-05 00:30:00,0,1,1006.4,20.2,89.4,-12.37,18.42,58,0,0.5,19.67,4.28,
2017-01-05 01:00:00,0,1,1006.4,19.86,92.1,-12.37,18.57,58,0,0,19.7,4.28,
2017-01-05 01:30:00,0,1,1006.2,19.63,92,-12.63,18.31,58,0,0,19.06,4.28,
2017-01-05 02:00:00,0,1,1006.3,19.13,93.1,-12.76,18.01,58,0,0,18.22,4.28,
2017-01-05 02:30:00,0,1,1006.3,19.03,95.4,-12.76,18.3,58,0,1,18.98,4.28,
2017-01-05 03:00:00,0,1,1006.2,19.03,94.9,-12.89,18.22,58,0,0.5,18.72,4.39,
2017-01-05 03:30:00,0,1,1006.1,18.51,96.9,-13.02,18.03,58,0,0,18.13,4.42,
2017-01-05 04:00:00,0,1,1006.1,18.51,97.2,-13.02,18.08,58,0,0,17.87,4.41,
2017-01-05 04:30:00,0,1,1005.9,18.39,97.3,-13.28,17.98,58,0,0,17.65,4.4,
2017-01-05 05:00:00,0,1,1006.1,18.49,97.1,-13.15,18.04,58,0,0,17.72,4.41,
2017-01-05 05:30:00,0,1,1006,18.46,96.6,-13.41,17.93,58,0,1,17.58,4.4,
2017-01-05 06:00:00,0,1,1006.2,18.25,95.6,-13.41,17.56,58,0,1.5,17.18,4.41,
2017-01-05 06:30:00,0,1,1006.4,18.06,95.1,-13.41,17.28,58,0,0.5,17.11,4.41,
2017-01-05 07:00:00,0,41,1006.7,18.51,93.4,-13.41,17.45,58,0,0.5,17.68,4.41,
2017-01-05 07:30:00,0,149,1006.9,18.98,94.5,-13.28,18.11,58,0,0,19.2,4.4,
2017-01-05 08:00:00,0,279,1006.9,20.32,93.2,-12.63,19.21,58,0,1,22.25,4.41,
2017-01-05 08:30:00,0,516,1007,19.96,93.1,-12.37,18.84,38,0,1,21.53,4.41,
2017-01-05 09:00:00,0,724,1006.9,21.99,84.9,-11.71,19.35,3,0,1.5,24.12,4.41,
2017-01-05 09:30:00,0,934,1006.9,23.11,80.7,-11.71,19.64,177,0,1.5,26.65,4.41,
2017-01-05 10:00:00,0,1074,1006.9,24.53,74.3,-11.58,19.68,306,0,1.5,27.04,4.41,
2017-01-05 10:30:00,0,1184,1006.7,24.68,72.2,-11.71,19.36,354,0.5,3,26.96,4.41,
2017-01-05 11:00:00,0,1266,1006.4,25.67,69.7,-11.58,19.74,279,0.5,2.5,27.95,4.4,
2017-01-05 11:30:00,0,1401,1005.9,25.67,69.5,-11.71,19.7,299,0.5,2.5,28.89,4.4,
2017-01-05 12:00:00,0,781,1005.4,25.57,66.6,-11.45,18.92,312,0.5,3,27.43,4.41,
2017-01-05 12:30:00,0,856,1004.7,25.7,66,-11.45,18.89,258,0.5,3,28.12,4.41,
2017-01-05 13:00:00,0,644,1004.2,26.13,65.6,-11.45,19.21,251,1,3.5,27.73,4.36,
2017-01-05 13:30:00,0,906,1003.9,27.73,62.3,-11.45,19.88,275,0.5,3,30.62,4.36,
2017-01-05 14:00:00,0,356,1003.6,25.91,67.2,-11.32,19.39,293,0.5,2.5,27.58,4.35,
2017-01-05 14:30:00,0,286,1003.2,25.31,69,-11.32,19.23,4,0.5,2,26.89,4.34,
2017-01-05 15:00:00,0,504,1002.9,25.84,67.6,-11.32,19.41,22,0,1.5,27.48,4.34,
2017-01-05 15:30:00,0,151,1002.8,25.5,68.7,-11.32,19.35,48,0,2,26.33,4.34,
2017-01-05 16:00:00,0,91,1003.1,25.06,70.8,-11.32,19.42,114,0,1.5,25.19,4.33,
2017-01-05 16:30:00,0,49,1003.3,24.63,71.3,-11.45,19.11,293,0,2.5,24.68,4.33,
2017-01-05 17:00:00,0,19,1003.6,24.29,72.9,-11.45,19.14,298,0,3,24.19,4.32,
2017-01-05 17:30:00,0,1,1003.8,23.54,75.3,-11.45,18.94,321,0.5,3,23.38,4.32,
2017-01-05 18:00:00,0,1,1004.3,23.21,76.2,-11.45,18.81,331,0,3,22.94,4.32,
2017-01-05 18:30:00,0,1,1004.7,22.78,77.4,-11.58,18.64,307,0,0.5,22.35,4.32,
2017-01-05 19:00:00,0,1,1005,22.68,78.5,-11.19,18.77,307,0,0,22.61,4.31,
2017-01-05 19:30:00,0,1,1005.4,22.44,78.4,-11.19,18.52,293,0,0.5,22.39,4.31,
2017-01-05 20:00:00,0,1,1005.8,21.99,81.6,-11.32,18.72,236,0,0.5,21.94,4.3,
2017-01-05 20:30:00,0,1,1006,21.37,85.4,-11.45,18.84,230,0,0.5,21.22,4.3,
2017-01-05 21:00:00,0,1,1006,21.53,84.2,-11.45,18.78,197,0,0.5,21.37,4.3,
2017-01-05 21:30:00,0,1,1006.3,21.01,86.5,-11.45,18.69,166,0,1,20.84,4.3,
2017-01-05 22:00:00,0,1,1006.3,20.84,88.4,-11.45,18.88,166,0,0.5,20.63,4.29,
2017-01-05 22:30:00,0,1,1006.2,20.63,87.1,-11.58,18.43,166,0,0.5,20.03,4.29,
2017-01-05 23:00:00,0,1,1006.2,20.94,86.7,-11.58,18.66,166,0,0,20.56,4.29,
2017-01-05 23:30:00,0,1,1006.1,19.75,91.8,-11.71,18.4,166,0,0.5,19.53,4.29,
2017-01-06 00:00:00,0,1,1005.8,19.77,93.5,-11.71,18.72,166,0,0,19.46,4.29,
2017-01-06 00:30:00,0,1,1005.8,19.67,93.1,-11.84,18.55,166,0,0,19.22,4.29,
2017-01-06 01:00:00,0,1,1005.8,19.56,94.5,-11.84,18.67,166,0,0,19.2,4.28,
2017-01-06 01:30:00,0,1,1005.8,19.84,94.1,-11.98,18.89,166,0,0,19.72,4.28,
2017-01-06 02:00:00,0,1,1005.6,19.29,95.2,-11.98,18.53,125,0,1.5,19.08,4.28,
2017-01-06 02:30:00,0,1,1005.4,20.13,92.4,-11.98,18.88,74,0,1,19.67,4.28,
2017-01-06 03:00:00,0,1,1005.3,19.39,95,-11.98,18.59,74,0,0,19.15,4.38,
2017-01-06 03:30:00,0,1,1005.1,20.65,91.7,-11.84,19.28,74,0,0.5,20.22,4.4,
2017-01-06 04:00:00,0,1,1005.1,21.08,89.1,-11.84,19.24,74,0,0.5,21.01,4.44,
2017-01-06 04:30:00,0,1,1005.1,19.2,95.1,-11.98,18.42,4,0,1,19.15,4.42,
