日期時間,土壤溫度01 (°C),土壤濕度01 (%),土壤濕度02 (%),土壤濕度03 (%),土壤濕度04 (%),土壤濕度05 (%),土壤濕度06 (%),土壤濕度07 (%),土壤濕度08 (%),土壤酸鹼值 (pH),電力 (V)
2017-01-01 23:30:00,21.84,4.76,32.08,17.96,18.49,26.59,16.92,-888.88,14.04,5.79,4.26,
2017-01-02 00:00:00,21.6,4.76,32.08,17.96,18.49,26.59,16.79,-888.88,14.04,5.79,4.25,
2017-01-02 00:30:00,21.37,4.89,31.95,17.96,18.49,26.46,16.79,-888.88,14.04,5.79,4.25,
2017-01-02 01:00:00,20.82,4.76,31.95,17.96,18.36,26.46,16.79,-888.88,14.04,5.72,4.25,
2017-01-02 01:30:00,20.77,4.89,31.95,17.96,18.49,26.33,16.79,-888.88,14.04,5.78,4.24,
2017-01-02 02:00:00,20.58,4.76,31.82,17.96,18.49,26.46,16.79,-888.88,14.04,5.81,4.24,
2017-01-02 02:30:00,20.32,4.89,31.82,17.96,18.36,26.33,16.66,-888.88,14.04,5.86,4.24,
2017-01-02 03:00:00,20.01,4.89,31.82,17.83,18.36,26.33,16.66,-888.88,14.04,5.91,4.23,
2017-01-02 03:30:00,19.79,4.89,31.82,17.83,18.36,26.33,16.79,-888.88,13.91,5.88,4.23,
2017-01-02 04:00:00,19.65,4.89,31.69,17.83,18.36,26.2,16.66,-888.88,13.91,5.89,4.23,
2017-01-02 04:30:00,19.41,4.89,31.56,17.83,18.36,26.2,16.66,-888.88,13.91,5.93,4.23,
2017-01-02 05:00:00,19.13,4.89,31.56,17.83,18.22,26.2,16.66,-888.88,13.91,5.95,4.22,
2017-01-02 05:30:00,18.87,4.89,31.56,17.7,18.22,26.07,16.66,-888.88,13.91,5.97,4.22,
2017-01-02 06:00:00,18.63,5.02,31.56,17.7,18.22,26.07,16.66,-888.88,13.91,5.98,4.22,
2017-01-02 06:30:00,18.41,4.89,31.43,17.7,18.22,26.07,16.66,-888.88,13.91,5.99,4.21,
2017-01-02 07:00:00,18.22,4.89,31.43,17.7,18.22,26.07,16.66,-888.88,13.91,6,4.21,
2017-01-02 07:30:00,18.15,5.02,31.43,17.7,18.22,26.07,16.53,-888.88,13.91,5.98,4.23,
2017-01-02 08:00:00,18.22,5.02,31.43,17.7,18.22,26.07,16.53,-888.88,13.91,5.93,4.25,
2017-01-02 08:30:00,18.49,5.02,31.43,17.7,18.22,26.07,16.66,-888.88,13.91,5.85,4.28,
2017-01-02 09:00:00,18.84,5.02,31.43,17.83,18.22,26.07,16.79,-888.88,13.91,5.79,4.31,
2017-01-02 09:30:00,19.22,5.02,31.56,17.83,18.22,26.07,16.79,-888.88,13.91,5.75,4.32,
2017-01-02 10:00:00,19.67,5.02,31.56,17.96,18.22,26.07,16.79,-888.88,13.78,5.74,4.35,
2017-01-02 10:30:00,20.27,5.02,31.43,17.96,18.22,25.94,16.92,-888.88,13.78,5.79,4.35,
2017-01-02 11:00:00,21.63,5.02,31.43,17.96,18.09,25.94,16.92,-888.88,13.65,5.85,4.36,
2017-01-02 11:30:00,23.21,5.15,31.43,18.09,18.09,25.81,17.05,-888.88,13.52,5.82,4.37,
2017-01-02 12:00:00,24.68,5.15,31.43,18.09,17.83,25.68,17.05,-888.88,13.52,5.72,4.39,
2017-01-02 12:30:00,26.06,5.15,31.3,18.22,17.83,25.55,17.18,-888.88,13.39,5.56,4.42,
2017-01-02 13:00:00,27.36,5.15,31.17,18.22,17.7,25.42,17.18,-888.88,13.26,5.49,4.42,
2017-01-02 13:30:00,28.44,5.15,31.04,18.22,17.44,25.28,17.05,-888.88,13.13,5.43,4.43,
2017-01-02 14:00:00,29.29,5.02,31.04,18.22,17.31,25.15,17.05,-888.88,13,5.4,4.43,
2017-01-02 14:30:00,29.89,5.02,30.91,18.09,17.18,25.02,16.92,-888.88,12.86,5.38,4.44,
2017-01-02 15:00:00,29.82,4.89,30.64,18.09,17.05,24.89,16.66,-888.88,12.73,5.44,4.44,
2017-01-02 15:30:00,29.61,4.89,30.51,17.96,17.05,24.89,16.53,-888.88,12.73,5.49,4.44,
2017-01-02 16:00:00,28.92,4.76,30.38,17.96,16.92,24.76,16.39,-888.88,12.6,5.57,4.42,
2017-01-02 16:30:00,28.12,4.76,29.86,17.83,16.92,24.76,16.26,-888.88,12.6,5.66,4.39,
2017-01-02 17:00:00,27.46,4.63,29.73,17.83,16.79,24.63,16.26,-888.88,12.6,5.74,4.35,
2017-01-02 17:30:00,26.74,4.63,29.6,17.83,16.79,24.63,16.13,-888.88,12.6,5.83,4.31,
2017-01-02 18:00:00,25.94,4.63,29.47,17.7,16.66,24.5,16,-888.88,12.47,5.92,4.3,
2017-01-02 18:30:00,25.19,4.63,29.47,17.7,16.66,24.5,16,-888.88,12.47,6,4.29,
2017-01-02 19:00:00,24.51,4.63,29.34,17.57,16.66,24.37,15.87,-888.88,12.34,6.05,4.28,
2017-01-02 19:30:00,23.93,4.5,29.34,17.57,16.66,24.37,15.87,-888.88,12.34,6.09,4.28,
2017-01-02 20:00:00,23.38,4.5,29.21,17.57,16.66,24.37,15.87,-888.88,12.34,6.13,4.28,
2017-01-02 20:30:00,22.87,4.5,29.21,17.44,16.53,24.24,15.74,-888.88,12.47,6.16,4.27,
2017-01-02 21:00:00,22.44,4.89,29.34,17.31,16.66,24.37,15.87,-888.88,12.47,6.2,4.27,
2017-01-02 21:30:00,22.03,4.63,29.21,17.31,16.66,24.37,15.74,-888.88,12.47,6.23,4.27,
2017-01-02 22:00:00,21.65,4.63,29.21,17.31,16.79,24.37,15.74,-888.88,12.47,6.24,4.27,
2017-01-02 22:30:00,21.29,4.63,29.21,17.18,16.79,24.37,15.74,-888.88,12.47,6.25,4.27,
2017-01-02 23:00:00,20.98,4.5,29.21,17.18,16.79,24.37,15.74,-888.88,12.47,6.27,4.26,
2017-01-02 23:30:00,20.7,4.5,29.08,17.18,16.66,24.24,15.74,-888.88,12.47,6.26,4.26,
2017-01-03 00:00:00,20.44,4.63,29.08,17.18,16.66,24.5,15.74,-888.88,12.47,6.26,4.26,
2017-01-03 00:30:00,20.22,4.5,29.21,17.18,16.66,24.24,15.74,-888.88,12.47,6.26,4.26,
2017-01-03 01:00:00,19.98,4.63,29.21,17.18,16.66,24.24,15.61,-888.88,12.47,6.27,4.25,
2017-01-03 01:30:00,19.77,4.5,29.21,17.18,16.66,24.24,15.61,-888.88,12.47,6.27,4.25,
2017-01-03 02:00:00,19.6,4.63,29.21,17.18,16.66,24.24,15.61,-888.88,12.47,6.27,4.25,
2017-01-03 02:30:00,19.39,4.63,29.21,17.18,16.66,24.11,15.61,-888.88,12.47,6.29,4.25,
2017-01-03 03:00:00,19.2,4.63,29.21,17.18,16.66,24.24,15.61,-888.88,12.47,6.29,4.25,
2017-01-03 03:30:00,19.01,4.63,29.08,17.18,16.53,24.24,15.61,-888.88,12.47,6.3,4.24,
2017-01-03 04:00:00,18.84,4.76,29.21,17.05,16.53,24.24,15.61,-888.88,12.47,6.3,4.24,
2017-01-03 04:30:00,18.7,4.63,29.34,17.05,16.53,24.24,15.61,-888.88,12.47,6.29,4.24,
2017-01-03 05:00:00,18.56,4.63,29.21,17.18,16.53,24.11,15.61,-888.88,12.47,6.3,4.24,
2017-01-03 05:30:00,18.39,4.63,29.08,17.05,16.53,24.11,15.61,-888.88,12.47,6.3,4.23,
2017-01-03 06:00:00,18.25,4.63,29.08,17.05,16.53,24.11,15.61,-888.88,12.47,6.3,4.23,
2017-01-03 06:30:00,18.13,4.63,29.08,17.05,16.66,24.11,15.61,-888.88,12.47,6.31,4.22,
2017-01-03 07:00:00,18.01,4.63,29.08,17.05,16.66,24.11,15.61,-888.88,12.47,6.3,4.23,
2017-01-03 07:30:00,17.99,4.76,29.08,17.18,16.53,24.11,15.61,-888.88,12.47,6.27,4.24,
2017-01-03 08:00:00,18.13,4.63,29.08,17.18,16.66,24.11,15.61,-888.88,12.47,6.22,4.25,
2017-01-03 08:30:00,18.41,4.63,28.95,17.18,16.53,24.11,15.74,-888.88,12.34,6.15,4.27,
2017-01-03 09:00:00,18.91,4.63,29.08,17.31,16.66,24.24,15.74,-888.88,12.34,6.09,4.34,
2017-01-03 09:30:00,19.46,4.76,29.08,17.31,16.66,24.24,15.87,-888.88,12.47,6.05,4.37,
2017-01-03 10:00:00,20.1,4.76,29.08,17.44,16.66,24.24,15.87,-888.88,12.34,6.02,4.4,
2017-01-03 10:30:00,20.86,4.76,29.08,17.57,16.66,24.24,15.87,-888.88,12.47,5.99,4.41,
2017-01-03 11:00:00,21.84,4.76,29.08,17.57,16.66,24.24,15.87,-888.88,12.47,5.99,4.42,
2017-01-03 11:30:00,22.63,4.76,28.95,17.7,16.53,24.24,16,-888.88,12.34,5.92,4.42,
2017-01-03 12:00:00,23.74,4.89,28.95,17.7,16.53,24.11,16.13,-888.88,12.34,5.85,4.43,
2017-01-03 12:30:00,25.14,4.89,28.81,17.83,16.53,24.11,16.13,-888.88,12.34,5.73,4.43,
2017-01-03 13:00:00,25.33,4.89,28.81,17.83,16.39,24.11,16,-888.88,12.34,5.76,4.44,
2017-01-03 13:30:00,26.11,5.02,28.81,17.83,16.39,23.98,16.13,-888.88,12.21,5.71,4.43,
2017-01-03 14:00:00,26.82,4.89,28.81,17.83,16.26,23.85,16.13,-888.88,12.08,5.67,4.44,
2017-01-03 14:30:00,27.65,4.89,28.55,17.83,16.26,23.72,16.13,-888.88,12.08,5.62,4.44,
2017-01-03 15:00:00,27.55,4.76,28.42,17.83,16.13,23.72,16,-888.88,12.08,5.68,4.44,
2017-01-03 15:30:00,27.26,4.63,28.29,17.83,16.13,23.72,15.87,-888.88,11.95,5.77,4.36,
2017-01-03 16:00:00,26.72,4.63,28.16,17.83,16,23.59,15.87,-888.88,11.95,5.84,4.33,
2017-01-03 16:30:00,26.18,4.63,28.03,17.7,16,23.59,15.74,-888.88,11.82,5.9,4.31,
2017-01-03 17:00:00,25.48,4.63,28.03,17.57,16,23.59,15.74,-888.88,11.82,5.94,4.3,
2017-01-03 17:30:00,25.06,4.5,27.9,17.57,16,23.45,15.74,-888.88,11.82,5.98,4.29,
2017-01-03 18:00:00,24.53,4.5,27.77,17.57,16,23.45,15.74,-888.88,11.82,6.03,4.29,
2017-01-03 18:30:00,24.1,4.5,27.77,17.57,15.87,23.45,15.74,-888.88,11.69,6.05,4.28,
2017-01-03 19:00:00,23.76,4.5,27.77,17.44,15.87,23.45,15.61,-888.88,11.69,6.07,4.28,
2017-01-03 19:30:00,23.5,4.5,27.77,17.44,15.87,23.32,15.61,-888.88,11.69,6.08,4.28,
2017-01-03 20:00:00,23.26,4.63,27.64,17.44,15.87,23.32,15.61,-888.88,11.69,6.09,4.27,
2017-01-03 20:30:00,22.82,4.5,27.51,17.44,15.74,23.32,15.48,-888.88,11.69,6.15,4.27,
2017-01-03 21:00:00,22.35,4.37,27.51,17.31,15.74,23.32,15.48,-888.88,11.69,6.2,4.27,
2017-01-03 21:30:00,21.91,4.37,27.51,17.31,15.87,23.32,15.48,-888.88,11.82,6.24,4.27,
2017-01-03 22:00:00,21.56,4.5,27.38,17.31,15.74,23.19,15.48,-888.88,11.69,6.26,4.27,
2017-01-03 22:30:00,21.22,4.37,27.38,17.31,15.87,23.19,15.35,-888.88,11.82,6.29,4.26,
2017-01-03 23:00:00,20.89,4.5,27.38,17.31,15.87,23.19,15.35,-888.88,11.69,6.3,4.26,
2017-01-03 23:30:00,20.6,4.37,27.38,17.18,15.87,23.19,15.35,-888.88,11.69,6.32,4.26,
2017-01-04 00:00:00,20.32,4.5,27.38,17.18,15.74,23.19,15.35,-888.88,11.69,6.33,4.25,
2017-01-04 00:30:00,20.06,4.5,27.25,17.18,15.74,23.19,15.35,-888.88,11.69,6.34,4.25,
2017-01-04 01:00:00,19.84,4.5,27.38,17.18,15.74,23.19,15.35,-888.88,11.82,6.35,4.25,
2017-01-04 01:30:00,19.63,4.5,27.25,17.18,15.74,23.06,15.22,-888.88,11.69,6.35,4.25,
2017-01-04 02:00:00,19.46,4.5,27.25,17.18,15.74,23.06,15.35,-888.88,11.69,6.34,4.24,
2017-01-04 02:30:00,19.27,4.5,27.25,17.18,15.74,23.06,15.35,-888.88,11.69,6.35,4.24,
2017-01-04 03:00:00,19.13,4.5,27.25,17.18,15.74,22.93,15.35,-888.88,11.69,6.35,4.24,
2017-01-04 03:30:00,18.98,4.5,27.11,17.05,15.74,23.06,15.22,-888.88,11.69,6.35,4.23,
2017-01-04 04:00:00,18.87,4.5,27.11,17.05,15.74,23.06,15.35,-888.88,11.69,6.34,4.23,
2017-01-04 04:30:00,18.87,4.5,27.11,17.05,15.74,22.93,15.22,-888.88,11.82,6.32,4.22,
2017-01-04 05:00:00,18.84,4.5,27.11,17.18,15.74,22.93,15.35,-888.88,11.69,6.3,4.22,
2017-01-04 05:30:00,18.77,4.5,27.11,17.18,15.74,23.06,15.22,-888.88,11.69,6.31,4.22,
2017-01-04 06:00:00,18.63,4.5,27.11,17.05,15.74,22.8,15.22,-888.88,11.69,6.33,4.22,
2017-01-04 06:30:00,18.46,4.5,27.11,17.18,15.74,22.93,15.35,-888.88,11.69,6.35,4.22,
2017-01-04 07:00:00,18.3,4.5,27.11,17.05,15.74,22.8,15.22,-888.88,11.69,6.36,4.22,
2017-01-04 07:30:00,18.25,4.5,27.11,17.18,15.74,22.8,15.35,-888.88,11.69,6.34,4.23,
2017-01-04 08:00:00,18.44,4.37,27.11,17.18,15.74,22.8,15.35,-888.88,11.69,6.29,4.25,
2017-01-04 08:30:00,18.7,4.5,27.11,17.18,15.74,22.93,15.35,-888.88,11.69,6.25,4.26,
2017-01-04 09:00:00,19.03,4.5,27.11,17.31,15.74,22.8,15.48,-888.88,11.56,6.22,4.3,
2017-01-04 09:30:00,19.37,4.63,27.11,17.31,15.87,22.8,15.35,-888.88,11.56,6.19,4.31,
2017-01-04 10:00:00,19.79,4.5,27.11,17.31,15.74,22.8,15.48,-888.88,11.56,6.18,4.35,
2017-01-04 10:30:00,20.41,4.63,27.11,17.44,15.74,22.8,15.48,-888.88,11.69,6.15,4.37,
2017-01-04 11:00:00,21.53,4.76,27.11,17.44,15.74,22.8,15.48,-888.88,11.56,6.17,4.39,
2017-01-04 11:30:00,23.28,4.76,27.11,17.57,15.74,22.67,15.74,-888.88,11.56,6.14,4.42,
2017-01-04 12:00:00,24.87,4.89,26.98,17.7,15.74,22.54,15.74,-888.88,11.43,5.93,4.42,
2017-01-04 12:30:00,25.87,4.76,26.85,17.7,15.61,22.41,15.61,-888.88,11.3,5.81,4.42,
2017-01-04 13:00:00,25.96,4.63,26.85,17.57,15.61,22.28,15.61,-888.88,11.17,5.82,4.43,
2017-01-04 13:30:00,26.16,4.76,26.72,17.7,15.48,22.28,15.74,-888.88,11.17,5.81,4.43,
2017-01-04 14:00:00,26.84,4.76,26.59,17.7,15.48,22.15,15.74,-888.88,11.17,5.74,4.44,
2017-01-04 14:30:00,27.33,4.63,26.59,17.57,15.35,22.15,15.61,-888.88,11.17,5.72,4.44,
2017-01-04 15:00:00,27.6,4.63,26.59,17.57,15.35,22.02,15.61,-888.88,11.03,5.73,4.39,
2017-01-04 15:30:00,27.73,4.5,26.46,17.57,15.35,21.89,15.61,-888.88,11.03,5.77,4.41,
2017-01-04 16:00:00,27.36,4.5,26.33,17.44,15.22,21.89,15.48,-888.88,10.9,5.87,4.36,
2017-01-04 16:30:00,26.77,4.37,26.2,17.44,15.22,21.89,15.48,-888.88,10.9,5.94,4.32,
2017-01-04 17:00:00,26.16,4.37,26.2,17.31,15.22,21.75,15.35,-888.88,10.9,5.99,4.31,
2017-01-04 17:30:00,25.57,4.37,26.2,17.31,15.09,21.75,15.35,-888.88,10.9,6.04,4.29,
2017-01-04 18:00:00,25.06,4.37,26.07,17.31,15.22,21.75,15.35,-888.88,10.77,6.07,4.29,
2017-01-04 18:30:00,24.56,4.37,26.07,17.31,15.09,21.75,15.22,-888.88,10.77,6.11,4.28,
2017-01-04 19:00:00,24.12,4.37,25.94,17.18,15.09,21.62,15.22,-888.88,10.77,6.14,4.28,
2017-01-04 19:30:00,23.74,4.24,25.94,17.18,15.09,21.62,15.22,-888.88,10.77,6.16,4.28,
2017-01-04 20:00:00,23.42,4.24,25.94,17.18,14.96,21.75,15.22,-888.88,10.77,6.18,4.28,
2017-01-04 20:30:00,23.02,4.24,25.81,17.18,14.96,21.75,15.09,-888.88,10.77,6.21,4.27,
2017-01-04 21:00:00,22.56,4.24,25.81,17.05,15.09,21.75,15.09,-888.88,10.77,6.25,4.27,
2017-01-04 21:30:00,22.13,4.24,25.81,17.05,14.96,21.62,15.09,-888.88,10.77,6.29,4.27,
2017-01-04 22:00:00,21.8,4.24,25.81,17.05,14.96,21.62,15.09,-888.88,10.77,6.3,4.27,
2017-01-04 22:30:00,21.49,4.24,25.81,17.05,14.96,21.62,15.09,-888.88,10.77,6.32,4.26,
2017-01-04 23:00:00,21.17,4.24,25.68,17.05,14.96,21.62,14.96,-888.88,10.77,6.34,4.26,
2017-01-04 23:30:00,20.94,4.24,25.68,16.92,14.96,21.62,14.96,-888.88,10.77,6.33,4.26,
2017-01-05 00:00:00,20.86,4.24,25.68,17.05,14.96,21.62,14.96,-888.88,10.9,6.31,4.26,
2017-01-05 00:30:00,20.79,4.24,25.68,16.92,14.96,21.49,15.09,-888.88,10.77,6.3,4.25,
2017-01-05 01:00:00,20.7,4.11,25.68,16.92,14.96,21.62,15.09,-888.88,10.77,6.31,4.25,
2017-01-05 01:30:00,20.63,4.24,25.68,16.92,14.96,21.49,14.96,-888.88,10.77,6.3,4.25,
2017-01-05 02:00:00,20.41,4.11,25.55,16.92,14.96,21.49,14.96,-888.88,10.77,6.33,4.24,
2017-01-05 02:30:00,20.25,4.11,25.55,16.92,14.96,21.49,14.96,-888.88,10.77,6.34,4.24,
2017-01-05 03:00:00,20.17,4.11,25.55,16.79,14.96,21.49,14.96,-888.88,10.77,6.34,4.24,
2017-01-05 03:30:00,20.03,4.24,25.55,16.92,14.96,21.49,14.96,-888.88,10.77,6.35,4.24,
2017-01-05 04:00:00,19.86,4.24,25.55,16.79,14.83,21.49,14.96,-888.88,10.77,6.37,4.23,
2017-01-05 04:30:00,19.67,4.24,25.55,16.92,14.96,21.49,14.96,-888.88,10.77,6.38,4.23,
2017-01-05 05:00:00,19.56,4.24,25.55,16.92,14.96,21.49,14.96,-888.88,10.77,6.38,4.22,
2017-01-05 05:30:00,19.37,4.24,25.55,16.79,14.96,21.49,14.96,-888.88,10.77,6.4,4.22,
2017-01-05 06:00:00,19.15,4.24,25.55,16.79,14.83,21.49,14.96,-888.88,10.77,6.42,4.22,
2017-01-05 06:30:00,18.94,4.24,25.55,16.92,14.96,21.36,14.96,-888.88,10.9,6.43,4.21,
2017-01-05 07:00:00,18.75,4.24,25.55,16.66,14.96,21.36,14.83,-888.88,10.9,6.44,4.21,
2017-01-05 07:30:00,18.68,4.24,25.55,16.79,14.96,21.36,14.96,-888.88,10.77,6.42,4.22,
2017-01-05 08:00:00,18.77,4.24,25.55,16.79,14.96,21.36,14.96,-888.88,10.9,6.39,4.24,
2017-01-05 08:30:00,19.01,4.24,25.55,16.92,14.96,21.49,15.09,-888.88,10.77,6.35,4.26,
2017-01-05 09:00:00,19.27,4.24,25.55,16.92,14.96,21.49,15.09,-888.88,10.77,6.32,4.29,
2017-01-05 09:30:00,19.65,4.37,25.55,16.92,14.96,21.49,15.09,-888.88,10.77,6.28,4.32,
2017-01-05 10:00:00,20.1,4.24,25.55,16.92,14.96,21.36,15.22,-888.88,10.9,6.26,4.35,
2017-01-05 10:30:00,20.72,4.37,25.55,17.05,14.96,21.49,15.22,-888.88,10.9,6.23,4.37,
2017-01-05 11:00:00,21.75,4.5,25.55,17.18,14.96,21.36,15.35,-888.88,10.9,6.21,4.4,
2017-01-05 11:30:00,23.09,4.63,25.55,17.18,14.96,21.36,15.35,-888.88,10.77,6.16,4.4,
2017-01-05 12:00:00,24.56,4.63,25.42,17.18,14.96,21.23,15.48,-888.88,10.64,6.02,4.42,
2017-01-05 12:30:00,25.7,4.63,25.42,17.31,14.83,21.23,15.48,-888.88,10.77,5.9,4.42,
2017-01-05 13:00:00,26.87,4.63,25.28,17.31,14.83,21.1,15.35,-888.88,10.64,5.8,4.43,
2017-01-05 13:30:00,27.78,4.76,25.28,17.31,14.69,20.97,15.48,-888.88,10.64,5.76,4.43,
2017-01-05 14:00:00,28.07,4.5,25.15,17.31,14.69,20.84,15.35,-888.88,10.64,5.8,4.44,
2017-01-05 14:30:00,27.9,4.5,25.02,17.18,14.56,20.84,15.35,-888.88,10.51,5.87,4.4,
2017-01-05 15:00:00,27.7,4.37,25.02,17.18,14.56,20.71,15.22,-888.88,10.38,5.89,4.44,
2017-01-05 15:30:00,27.53,4.37,24.89,17.18,14.56,20.71,15.22,-888.88,10.38,5.92,4.38,
2017-01-05 16:00:00,27.04,4.24,24.89,17.05,14.56,20.58,15.22,-888.88,10.38,5.99,4.34,
2017-01-05 16:30:00,26.4,4.24,24.89,17.05,14.56,20.45,15.22,-888.88,10.38,6.04,4.32,
2017-01-05 17:00:00,25.91,4.24,24.76,17.05,14.56,20.45,15.09,-888.88,10.38,6.07,4.31,
2017-01-05 17:30:00,25.43,4.11,24.76,17.05,14.43,20.45,15.09,-888.88,10.38,6.11,4.29,
2017-01-05 18:00:00,24.99,4.24,24.76,17.05,14.43,20.45,15.09,-888.88,10.38,6.14,4.29,
2017-01-05 18:30:00,24.58,4.11,24.76,16.92,14.43,20.45,14.96,-888.88,10.25,6.18,4.28,
2017-01-05 19:00:00,24.15,4.11,24.76,17.05,14.43,20.45,14.96,-888.88,10.25,6.21,4.28,
2017-01-05 19:30:00,23.81,4.11,24.76,16.92,14.43,20.45,14.96,-888.88,10.25,6.23,4.28,
2017-01-05 20:00:00,23.54,3.97,24.89,16.92,14.3,20.45,14.96,-888.88,10.25,6.24,4.28,
