,觀測時間(LST)ObsTime,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,氣溫(℃)Temperature,露點溫度(℃)Td dew point,相對溼度(%)RH,風速(m/s)WS,風向(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,降水量(mm)Precp,降水時數(hr)PrecpHour,日照時數(hr)SunShine,全天空日射量(MJ/㎡)GloblRad,能見度(km)Visb
69,2017-01-03 21:00,1009.9,,19.3,,91,0.8,77,,,0.0,,,,
70,2017-01-03 22:00,1009.4,,19.0,,93,0.7,90,,,0.0,,,,
71,2017-01-03 23:00,1009.1,,19.2,,91,0.4,93,,,0.0,,,,
72,2017-01-04 00:00,1009.1,,19.0,,89,0.7,67,,,0.0,,,,
73,2017-01-04 01:00,1008.8,,18.5,,91,0.6,83,,,0.0,,,,
74,2017-01-04 02:00,1008.4,,18.3,,92,0.0,0,,,0.0,,,,
75,2017-01-04 03:00,1008.2,,18.5,,91,0.2,0,,,0.0,,,,
76,2017-01-04 04:00,1008.6,,18.5,,90,0.4,56,,,0.0,,,,
77,2017-01-04 05:00,1009.1,,19.1,,87,0.8,40,,,0.0,,,,
78,2017-01-04 06:00,1009.6,,17.8,,94,0.2,0,,,0.0,,,,
79,2017-01-04 07:00,1009.9,,19.5,,89,0.1,0,,,0.0,,,,
80,2017-01-04 08:00,1010.3,,23.1,,72,0.1,0,,,0.0,,,,
81,2017-01-04 09:00,1010.1,,24.3,,67,1.1,305,,,0.0,,,,
82,2017-01-04 10:00,1009.3,,25.0,,66,1.4,309,,,0.0,,,,
83,2017-01-04 11:00,1008.5,,24.6,,66,1.2,304,,,0.0,,,,
84,2017-01-04 12:00,1007.5,,25.6,,65,0.8,250,,,0.0,,,,
85,2017-01-04 13:00,1007.0,,24.3,,70,0.4,240,,,0.0,,,,
86,2017-01-04 14:00,1006.5,,24.3,,69,1.1,273,,,0.0,,,,
87,2017-01-04 15:00,1006.6,,24.1,,67,1.0,312,,,0.0,,,,
88,2017-01-04 16:00,1006.9,,22.7,,75,0.2,0,,,0.0,,,,
89,2017-01-04 17:00,1007.5,,20.4,,87,1.2,89,,,0.0,,,,
90,2017-01-04 18:00,1008.1,,19.7,,92,0.2,0,,,0.0,,,,
91,2017-01-04 19:00,1008.4,,19.5,,92,0.6,84,,,0.0,,,,
92,2017-01-04 20:00,1008.3,,19.3,,93,0.5,70,,,0.0,,,,
93,2017-01-04 21:00,1008.0,,19.1,,92,0.1,0,,,0.0,,,,
94,2017-01-04 22:00,1008.0,,19.1,,92,0.8,74,,,0.0,,,,
95,2017-01-04 23:00,X,,X,,X,X,X,,,0.0,,,,
96,2017-01-05 00:00,1007.9,,18.5,,92,0.7,90,,,0.0,,,,
97,2017-01-05 01:00,1007.8,,18.5,,92,0.7,85,,,0.0,,,,
98,2017-01-05 02:00,1007.4,,18.2,,92,0.8,73,,,0.0,,,,
99,2017-01-05 03:00,1007.2,,18.5,,90,0.5,83,,,0.0,,,,
100,2017-01-05 04:00,1007.2,,17.9,,92,0.0,0,,,0.0,,,,
101,2017-01-05 05:00,1007.5,,17.8,,93,1.0,45,,,0.0,,,,
102,2017-01-05 06:00,1008.0,,17.8,,93,0.7,79,,,0.0,,,,
103,2017-01-05 07:00,1008.1,,19.2,,91,0.0,0,,,0.0,,,,
104,2017-01-05 08:00,1008.4,,21.9,,81,0.0,0,,,0.0,,,,
105,2017-01-05 09:00,X,,X,,X,X,X,,,0.0,,,,
106,2017-01-05 10:00,1007.9,,25.5,,64,2.5,323,,,X,,,,
107,2017-01-05 11:00,1007.3,,26.3,,61,2.0,331,,,0.0,,,,
108,2017-01-05 12:00,1006.1,,25.4,,63,1.5,343,,,0.0,,,,
109,2017-01-05 13:00,1005.4,,25.7,,67,1.0,277,,,0.0,,,,
110,2017-01-05 14:00,1004.5,,27.1,,64,0.3,223,,,0.0,,,,
111,2017-01-05 15:00,1004.5,,26.1,,66,0.5,211,,,0.0,,,,
112,2017-01-05 16:00,1005.1,,24.0,,75,0.0,0,,,0.0,,,,
113,2017-01-05 17:00,1005.6,,22.0,,87,0.1,0,,,0.0,,,,
114,2017-01-05 18:00,1006.7,,22.4,,83,0.1,0,,,0.0,,,,
115,2017-01-05 19:00,1007.3,,21.2,,87,1.0,92,,,0.0,,,,
116,2017-01-05 20:00,1007.4,,20.0,,91,0.2,0,,,0.0,,,,
117,2017-01-05 21:00,1007.6,,19.5,,91,0.7,92,,,0.0,,,,
118,2017-01-05 22:00,1007.6,,19.4,,92,0.7,109,,,0.0,,,,
119,2017-01-05 23:00,1007.3,,19.3,,91,0.3,66,,,0.0,,,,
120,2017-01-06 00:00,1007.3,,19.2,,91,0.4,88,,,0.0,,,,
121,2017-01-06 01:00,1007.0,,19.2,,88,0.1,0,,,0.0,,,,
122,2017-01-06 02:00,1006.6,,20.0,,86,0.0,0,,,0.0,,,,
123,2017-01-06 03:00,1006.5,,20.4,,84,0.8,154,,,0.0,,,,
124,2017-01-06 04:00,1006.5,,19.2,,89,0.5,138,,,0.0,,,,
125,2017-01-06 05:00,1006.6,,20.6,,79,0.2,0,,,0.0,,,,
126,2017-01-06 06:00,1007.1,,21.0,,75,0.7,145,,,0.0,,,,
127,2017-01-06 07:00,1007.2,,23.0,,64,2.4,110,,,0.0,,,,
128,2017-01-06 08:00,1007.4,,23.8,,71,1.8,26,,,0.0,,,,
129,2017-01-06 09:00,1006.9,,25.5,,63,2.4,7,,,0.0,,,,
130,2017-01-06 10:00,1005.9,,26.8,,58,2.1,3,,,0.0,,,,
131,2017-01-06 11:00,1005.1,,27.5,,58,2.1,298,,,0.0,,,,
132,2017-01-06 12:00,1004.6,,26.2,,66,1.9,285,,,0.0,,,,
133,2017-01-06 13:00,1004.1,,25.9,,66,0.6,228,,,0.0,,,,
134,2017-01-06 14:00,1003.5,,25.9,,64,1.0,266,,,0.0,,,,
135,2017-01-06 15:00,1003.8,,24.3,,69,0.6,275,,,0.0,,,,
136,2017-01-06 16:00,1004.4,,23.5,,73,0.0,0,,,0.0,,,,
137,2017-01-06 17:00,1004.9,,21.9,,80,0.0,0,,,0.0,,,,
138,2017-01-06 18:00,1005.2,,21.1,,83,0.2,0,,,0.0,,,,
139,2017-01-06 19:00,1005.7,,20.2,,87,0.6,141,,,0.0,,,,
140,2017-01-06 20:00,1005.7,,20.1,,88,0.2,0,,,0.0,,,,
141,2017-01-06 21:00,1005.6,,19.8,,90,0.0,0,,,0.0,,,,
142,2017-01-06 22:00,1005.8,,19.0,,92,0.0,0,,,0.0,,,,
143,2017-01-06 23:00,1005.3,,18.9,,92,0.1,0,,,0.0,,,,
144,2017-01-07 00:00,1005.2,,19.2,,91,0.0,0,,,0.0,,,,
145,2017-01-07 01:00,1005.0,,18.8,,92,0.0,0,,,0.0,,,,
146,2017-01-07 02:00,1004.7,,18.8,,92,0.6,114,,,0.0,,,,
147,2017-01-07 03:00,1004.6,,18.5,,92,0.1,0,,,0.0,,,,
148,2017-01-07 04:00,1004.7,,18.5,,92,0.5,136,,,0.0,,,,
149,2017-01-07 05:00,1005.2,,19.8,,86,0.1,0,,,0.0,,,,
150,2017-01-07 06:00,1005.2,,19.2,,85,0.5,44,,,0.0,,,,
151,2017-01-07 07:00,1005.5,,20.9,,81,0.9,70,,,0.0,,,,
152,2017-01-07 08:00,1006.0,,23.9,,69,0.0,0,,,0.0,,,,
153,2017-01-07 09:00,1005.7,,26.4,,60,1.1,261,,,0.0,,,,
154,2017-01-07 10:00,1005.2,,25.6,,62,0.8,284,,,0.0,,,,
155,2017-01-07 11:00,1004.4,,26.7,,58,0.9,266,,,0.0,,,,
156,2017-01-07 12:00,1003.3,,25.7,,60,1.1,296,,,0.0,,,,
157,2017-01-07 13:00,X,,X,,X,X,X,,,0.0,,,,
158,2017-01-07 14:00,1001.7,,27.8,,57,1.1,262,,,0.0,,,,
159,2017-01-07 15:00,1001.4,,26.4,,59,2.6,351,,,0.0,,,,
160,2017-01-07 16:00,1002.2,,23.9,,74,0.1,0,,,0.0,,,,
161,2017-01-07 17:00,1002.8,,22.5,,79,0.7,98,,,0.0,,,,
162,2017-01-07 18:00,1003.1,,22.2,,75,0.2,0,,,0.0,,,,
163,2017-01-07 19:00,1003.6,,20.8,,84,0.4,127,,,0.0,,,,
164,2017-01-07 20:00,1003.8,,20.4,,86,0.6,127,,,0.0,,,,
165,2017-01-07 21:00,1003.9,,19.8,,88,0.0,0,,,0.0,,,,
166,2017-01-07 22:00,1003.9,,20.5,,83,0.1,0,,,0.0,,,,
167,2017-01-07 23:00,1003.9,,21.1,,81,0.0,0,,,0.0,,,,
168,2017-01-08 00:00,1003.4,,20.7,,79,0.0,0,,,0.0,,,,
169,2017-01-08 01:00,1003.1,,21.0,,79,0.0,0,,,0.0,,,,
170,2017-01-08 02:00,1002.7,,20.8,,82,0.0,0,,,0.0,,,,
171,2017-01-08 03:00,1002.6,,21.3,,79,0.0,0,,,0.0,,,,
172,2017-01-08 04:00,1002.7,,20.8,,83,0.0,0,,,0.0,,,,
173,2017-01-08 05:00,1003.0,,20.6,,84,0.0,0,,,0.0,,,,
174,2017-01-08 06:00,1003.7,,20.2,,85,0.0,0,,,0.0,,,,
175,2017-01-08 07:00,1004.2,,21.0,,83,0.0,0,,,0.0,,,,
176,2017-01-08 08:00,1004.6,,23.5,,75,0.0,0,,,0.0,,,,
177,2017-01-08 09:00,1005.0,,27.3,,61,0.7,212,,,0.0,,,,
178,2017-01-08 10:00,1004.3,,26.8,,61,1.0,273,,,0.0,,,,
179,2017-01-08 11:00,1003.1,,28.3,,55,1.1,258,,,0.0,,,,
180,2017-01-08 12:00,1002.1,,28.3,,57,1.1,218,,,0.0,,,,
181,2017-01-08 13:00,X,,X,,X,X,X,,,0.0,,,,
182,2017-01-08 14:00,1000.9,,28.7,,56,0.9,231,,,0.0,,,,
183,2017-01-08 15:00,1001.2,,26.5,,69,0.9,230,,,0.0,,,,
184,2017-01-08 16:00,1001.7,,24.2,,78,1.1,219,,,0.0,,,,
185,2017-01-08 17:00,1002.5,,22.3,,87,0.7,123,,,0.0,,,,
186,2017-01-08 18:00,1003.3,,21.9,,90,0.8,76,,,0.0,,,,
187,2017-01-08 19:00,1004.0,,21.7,,91,0.9,104,,,0.0,,,,
188,2017-01-08 20:00,1004.4,,21.5,,90,1.0,61,,,0.0,,,,
189,2017-01-08 21:00,1004.7,,21.2,,90,1.0,53,,,0.0,,,,
190,2017-01-08 22:00,1004.6,,21.1,,89,0.9,72,,,0.0,,,,
191,2017-01-08 23:00,1004.1,,20.3,,91,0.5,121,,,0.0,,,,
192,2017-01-09 00:00,1004.0,,19.9,,92,1.1,90,,,0.0,,,,
193,2017-01-09 01:00,1003.8,,20.8,,87,0.0,0,,,0.0,,,,
194,2017-01-09 02:00,1003.7,,20.9,,85,0.0,0,,,0.0,,,,
195,2017-01-09 03:00,1003.6,,20.0,,89,0.8,74,,,0.0,,,,
196,2017-01-09 04:00,1004.3,,19.5,,84,0.3,33,,,0.0,,,,
197,2017-01-09 05:00,1005.1,,19.3,,94,0.6,111,,,0.0,,,,
198,2017-01-09 06:00,1005.8,,19.6,,95,0.0,0,,,0.0,,,,
199,2017-01-09 07:00,1006.5,,20.3,,94,0.5,89,,,0.0,,,,
200,2017-01-09 08:00,1007.2,,24.4,,74,0.2,0,,,0.0,,,,
201,2017-01-09 09:00,1007.2,,25.8,,68,0.6,268,,,0.0,,,,
202,2017-01-09 10:00,1006.5,,26.8,,63,1.3,248,,,0.0,,,,
203,2017-01-09 11:00,1005.5,,26.4,,65,1.7,284,,,0.0,,,,
204,2017-01-09 12:00,1004.6,,27.2,,63,1.5,254,,,0.0,,,,
205,2017-01-09 13:00,1003.9,,26.7,,67,1.1,251,,,0.0,,,,
206,2017-01-09 14:00,1003.8,,24.7,,73,1.7,276,,,0.0,,,,
207,2017-01-09 15:00,1004.2,,23.6,,78,1.1,277,,,0.0,,,,
208,2017-01-09 16:00,1005.1,,22.6,,81,1.1,350,,,0.0,,,,
209,2017-01-09 17:00,1005.7,,22.2,,68,2.1,24,,,0.0,,,,
210,2017-01-09 18:00,1006.4,,22.5,,59,2.1,73,,,0.0,,,,
211,2017-01-09 19:00,1007.0,,21.6,,62,1.3,72,,,0.0,,,,
212,2017-01-09 20:00,1007.3,,20.7,,67,1.4,52,,,0.0,,,,
213,2017-01-09 21:00,1007.3,,19.3,,74,0.0,0,,,0.0,,,,
214,2017-01-09 22:00,1007.5,,18.6,,82,0.1,0,,,0.0,,,,
215,2017-01-09 23:00,1007.4,,19.1,,93,0.0,0,,,0.0,,,,
216,2017-01-10 00:00,1007.1,,18.4,,88,1.0,87,,,0.0,,,,
217,2017-01-10 01:00,1006.8,,17.8,,93,0.9,81,,,0.0,,,,
218,2017-01-10 02:00,1007.0,,17.8,,94,0.6,74,,,0.0,,,,
219,2017-01-10 03:00,1006.9,,18.0,,93,0.5,112,,,0.0,,,,
220,2017-01-10 04:00,1007.3,,17.6,,94,0.8,79,,,0.0,,,,
221,2017-01-10 05:00,1007.8,,17.9,,93,0.4,104,,,0.0,,,,
222,2017-01-10 06:00,1008.5,,17.5,,94,0.6,89,,,0.0,,,,
223,2017-01-10 07:00,1009.3,,19.2,,88,0.2,0,,,0.0,,,,
224,2017-01-10 08:00,1010.0,,22.0,,78,1.0,292,,,0.0,,,,
225,2017-01-10 09:00,X,,X,,X,X,X,,,0.0,,,,
226,2017-01-10 10:00,1009.1,,26.1,,63,0.8,254,,,0.0,,,,
227,2017-01-10 11:00,1008.4,,24.7,,65,0.6,224,,,0.0,,,,
228,2017-01-10 12:00,1007.8,,24.1,,69,0.9,235,,,X,,,,
229,2017-01-10 13:00,1007.1,,24.3,,69,0.7,248,,,0.0,,,,
230,2017-01-10 14:00,1007.1,,23.2,,71,0.3,274,,,0.0,,,,
231,2017-01-10 15:00,1007.3,,23.8,,70,1.0,257,,,0.0,,,,
232,2017-01-10 16:00,1007.9,,21.7,,79,0.8,99,,,0.0,,,,
233,2017-01-10 17:00,1008.0,,19.8,,84,1.1,86,,,0.0,,,,
234,2017-01-10 18:00,1008.6,,19.8,,71,0.5,173,,,0.0,,,,
235,2017-01-10 19:00,1008.8,,18.4,,78,0.6,106,,,0.0,,,,
236,2017-01-10 20:00,1009.2,,18.1,,86,0.9,101,,,0.0,,,,
237,2017-01-10 21:00,1009.6,,19.7,,81,0.6,207,,,0.0,,,,
238,2017-01-10 22:00,1009.6,,18.2,,83,0.1,0,,,0.0,,,,
239,2017-01-10 23:00,1009.4,,18.0,,88,1.0,119,,,0.0,,,,
240,2017-01-11 00:00,1008.9,,18.1,,86,0.4,61,,,0.0,,,,
241,2017-01-11 01:00,1008.0,,18.0,,88,0.9,61,,,0.0,,,,
242,2017-01-11 02:00,1008.0,,18.5,,87,0.3,29,,,0.0,,,,
243,2017-01-11 03:00,1007.7,,18.4,,89,0.7,84,,,0.0,,,,
244,2017-01-11 04:00,1008.1,,18.1,,89,0.8,32,,,0.0,,,,
245,2017-01-11 05:00,1008.9,,18.6,,85,0.0,0,,,0.0,,,,
246,2017-01-11 06:00,1009.4,,18.3,,87,0.4,111,,,0.0,,,,
247,2017-01-11 07:00,1010.0,,20.3,,83,0.5,126,,,0.0,,,,
248,2017-01-11 08:00,1010.5,,22.9,,70,1.0,179,,,0.0,,,,
249,2017-01-11 09:00,1010.2,,24.4,,64,1.1,275,,,0.0,,,,
250,2017-01-11 10:00,1008.8,,25.2,,58,1.1,272,,,0.0,,,,
251,2017-01-11 11:00,1008.0,,26.0,,57,1.4,272,,,0.0,,,,
252,2017-01-11 12:00,1007.0,,25.6,,60,1.2,266,,,0.0,,,,
253,2017-01-11 13:00,1005.9,,26.0,,61,1.3,262,,,0.0,,,,
254,2017-01-11 14:00,1005.8,,23.5,,70,1.4,280,,,0.0,,,,
255,2017-01-11 15:00,1005.8,,23.1,,71,0.6,236,,,0.0,,,,
256,2017-01-11 16:00,1006.3,,21.4,,78,0.2,0,,,0.0,,,,
257,2017-01-11 17:00,1007.0,,20.5,,81,0.8,66,,,0.0,,,,
258,2017-01-11 18:00,1007.7,,20.7,,80,1.0,44,,,0.0,,,,
259,2017-01-11 19:00,1008.2,,21.0,,79,0.9,65,,,0.0,,,,
260,2017-01-11 20:00,1008.5,,20.6,,82,0.9,90,,,0.0,,,,
261,2017-01-11 21:00,1008.7,,20.5,,84,0.9,68,,,0.0,,,,
262,2017-01-11 22:00,1009.0,,20.5,,85,0.6,86,,,0.0,,,,
263,2017-01-11 23:00,1008.2,,20.1,,87,0.7,54,,,0.0,,,,
264,2017-01-12 00:00,1007.9,,19.6,,88,0.6,72,,,0.0,,,,
265,2017-01-12 01:00,1007.4,,18.8,,91,0.0,0,,,0.0,,,,
266,2017-01-12 02:00,1006.7,,18.5,,91,0.9,69,,,0.0,,,,
267,2017-01-12 03:00,1006.0,,19.0,,88,1.3,43,,,0.0,,,,
268,2017-01-12 04:00,1006.1,,18.1,,92,0.0,0,,,0.0,,,,
269,2017-01-12 05:00,1006.4,,17.5,,94,0.5,15,,,0.0,,,,
270,2017-01-12 06:00,1006.8,,17.5,,94,0.1,0,,,0.0,,,,
271,2017-01-12 07:00,1007.2,,19.2,,90,0.5,70,,,0.0,,,,
272,2017-01-12 08:00,1007.4,,22.4,,76,0.2,0,,,0.0,,,,
273,2017-01-12 09:00,1006.8,,25.4,,60,0.3,218,,,0.0,,,,
274,2017-01-12 10:00,1006.3,,26.0,,58,1.4,338,,,0.0,,,,
275,2017-01-12 11:00,1005.1,,27.2,,56,1.6,264,,,0.0,,,,
276,2017-01-12 12:00,1004.4,,25.2,,65,1.1,252,,,0.0,,,,
277,2017-01-12 13:00,1003.8,,23.1,,74,1.3,308,,,0.0,,,,
278,2017-01-12 14:00,1003.3,,23.3,,73,0.3,279,,,0.0,,,,
279,2017-01-12 15:00,X,,X,,X,X,X,,,0.0,,,,
280,2017-01-12 16:00,1003.7,,22.3,,78,0.0,0,,,0.0,,,,
281,2017-01-12 17:00,1003.9,,21.6,,83,0.0,0,,,0.0,,,,
282,2017-01-12 18:00,1004.1,,20.2,,88,0.4,130,,,0.0,,,,
283,2017-01-12 19:00,1004.6,,19.5,,90,0.2,0,,,0.0,,,,
284,2017-01-12 20:00,1005.2,,19.5,,88,0.1,0,,,0.0,,,,
285,2017-01-12 21:00,1005.3,,19.8,,87,0.1,0,,,0.0,,,,
286,2017-01-12 22:00,1004.9,,19.6,,88,0.4,130,,,0.0,,,,
287,2017-01-12 23:00,1004.6,,19.1,,87,0.6,130,,,0.0,,,,
288,2017-01-13 00:00,1004.3,,18.6,,89,0.4,127,,,0.0,,,,
289,2017-01-13 01:00,1003.6,,18.9,,88,0.1,0,,,0.0,,,,
290,2017-01-13 02:00,1003.5,,18.2,,92,0.2,0,,,0.0,,,,
291,2017-01-13 03:00,1003.3,,18.7,,89,0.6,193,,,0.0,,,,
292,2017-01-13 04:00,1002.9,,18.4,,92,0.7,196,,,0.0,,,,
293,2017-01-13 05:00,1003.2,,18.2,,92,0.3,157,,,0.0,,,,
294,2017-01-13 06:00,1003.8,,18.6,,89,0.9,265,,,0.0,,,,
295,2017-01-13 07:00,1004.9,,18.5,,93,0.6,152,,,0.0,,,,
296,2017-01-13 08:00,1005.4,,23.7,,74,0.1,0,,,0.0,,,,
297,2017-01-13 09:00,1005.3,,25.4,,67,0.8,336,,,0.0,,,,
298,2017-01-13 10:00,1004.6,,27.1,,57,0.6,262,,,0.0,,,,
299,2017-01-13 11:00,1003.6,,28.1,,57,1.5,211,,,0.0,,,,
300,2017-01-13 12:00,1002.6,,27.0,,61,1.6,278,,,0.0,,,,
301,2017-01-13 13:00,1002.4,,25.5,,69,1.4,285,,,0.0,,,,
302,2017-01-13 14:00,1001.9,,27.2,,65,1.0,255,,,0.0,,,,
303,2017-01-13 15:00,1002.7,,23.3,,78,1.6,315,,,0.0,,,,
304,2017-01-13 16:00,1003.5,,22.6,,79,0.5,271,,,0.0,,,,
305,2017-01-13 17:00,1003.9,,22.2,,82,1.1,151,,,0.0,,,,
306,2017-01-13 18:00,1004.2,,21.8,,84,1.0,150,,,0.0,,,,
307,2017-01-13 19:00,1004.7,,21.2,,88,0.1,0,,,0.0,,,,
308,2017-01-13 20:00,1005.1,,21.3,,88,0.6,150,,,0.0,,,,
309,2017-01-13 21:00,1005.6,,21.4,,86,0.7,150,,,0.0,,,,
310,2017-01-13 22:00,1005.6,,21.1,,88,0.0,0,,,0.0,,,,
311,2017-01-13 23:00,1005.4,,21.1,,86,0.0,0,,,0.0,,,,
312,2017-01-14 00:00,1005.2,,20.7,,87,0.0,0,,,0.0,,,,
313,2017-01-14 01:00,1004.7,,20.8,,82,0.3,330,,,0.0,,,,
314,2017-01-14 02:00,1004.5,,20.0,,86,0.7,265,,,0.0,,,,
315,2017-01-14 03:00,1004.4,,19.4,,86,0.3,230,,,0.0,,,,
316,2017-01-14 04:00,1005.3,,19.4,,86,0.8,227,,,0.0,,,,
317,2017-01-14 05:00,1005.5,,19.1,,87,0.9,93,,,0.0,,,,
318,2017-01-14 06:00,1006.3,,18.9,,88,1.1,5,,,0.0,,,,
319,2017-01-14 07:00,1006.9,,19.7,,84,0.1,0,,,0.0,,,,
320,2017-01-14 08:00,1007.3,,21.2,,78,0.2,0,,,0.0,,,,
321,2017-01-14 09:00,1007.9,,22.1,,74,1.7,358,,,0.0,,,,
322,2017-01-14 10:00,1007.2,,23.0,,70,0.7,249,,,0.0,,,,
323,2017-01-14 11:00,1006.8,,22.1,,73,0.1,0,,,0.0,,,,
