,Date,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,氣溫(℃)Temperature,露點溫度(℃)Td dew point,相對溼度(%)RH,風速(m/s)WS,風向(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,降水量(mm)Precp,降水時數(hr)PrecpHour,日照時數(hr)SunShine,全天空日射量(MJ/㎡)GloblRad,能見度(km)Visb
22,2016/1/1 23:00,1010.1,,17.6,,89,0.7,1,,,0,,,,
23,2016/1/2 00:00,1010,,16.9,,92,0.2,0,,,0,,,,
24,2016/1/2 01:00,1009.6,,17.4,,90,1.4,50,,,0,,,,
25,2016/1/2 02:00,1008.4,,17.9,,86,1.7,47,,,0,,,,
26,2016/1/2 03:00,1008.4,,17,,89,1,355,,,0,,,,
27,2016/1/2 04:00,1007.5,,17.6,,86,1.1,41,,,0,,,,
28,2016/1/2 05:00,1008.2,,17.1,,88,0,0,,,0,,,,
29,2016/1/2 06:00,1008.3,,18,,85,1.1,70,,,0,,,,
30,2016/1/2 07:00,1009.5,,18.4,,86,0,0,,,0,,,,
31,2016/1/2 08:00,1009.3,,20.9,,79,0.8,318,,,0,,,,
32,2016/1/2 09:00,1008.9,,23.4,,68,1.5,296,,,0,,,,
33,2016/1/2 10:00,1008.6,,25.6,,59,1.1,260,,,0,,,,
34,2016/1/2 11:00,1008,,25.4,,57,1.5,228,,,0,,,,
35,2016/1/2 12:00,1008.1,,24.8,,59,0.7,313,,,0,,,,
36,2016/1/2 13:00,1006.5,,23.8,,65,0.7,28,,,0,,,,
37,2016/1/2 14:00,1005.6,,22.2,,81,1.4,207,,,0,,,,
38,2016/1/2 15:00,1006.5,,20.6,,92,0,0,,,0.5,,,,
39,2016/1/2 16:00,1007,,20.3,,98,0.6,339,,,0,,,,
40,2016/1/2 17:00,1006.2,,20.5,,92,1.8,191,,,0.5,,,,
41,2016/1/2 18:00,1007.6,,20.1,,99,0.7,29,,,1,,,,
42,2016/1/2 19:00,1008.5,,19.9,,100,0.4,276,,,3,,,,
43,2016/1/2 20:00,1008.7,,19.7,,100,0,0,,,2,,,,
44,2016/1/2 21:00,1009,,19.7,,100,0,0,,,3,,,,
45,2016/1/2 22:00,1007.8,,19.4,,100,0.7,216,,,1.5,,,,
46,2016/1/2 23:00,1008.1,,19.5,,100,0.6,30,,,1,,,,
47,2016/1/3 00:00,1006.6,,19.4,,100,1.5,65,,,0,,,,
48,2016/1/3 01:00,1006,,19.4,,100,0.8,311,,,0,,,,
49,2016/1/3 02:00,1005.2,,19.3,,100,1,106,,,0.5,,,,
50,2016/1/3 03:00,1005,,19.4,,100,0,0,,,0,,,,
51,2016/1/3 04:00,1005.1,,19.2,,100,0,0,,,0,,,,
52,2016/1/3 05:00,1005.8,,19.2,,100,0.4,246,,,0,,,,
53,2016/1/3 06:00,1007,,19.4,,100,1.5,308,,,3,,,,
54,2016/1/3 07:00,1007.3,,19.6,,100,1.9,98,,,2.5,,,,
55,2016/1/3 08:00,1006.8,,22.2,,89,1.1,356,,,0,,,,
56,2016/1/3 09:00,1007.1,,22,,93,0.2,0,,,0,,,,
57,2016/1/3 10:00,1006.2,,22.9,,94,0.6,334,,,0,,,,
58,2016/1/3 11:00,1005.3,,25.3,,80,2,284,,,0,,,,
59,2016/1/3 12:00,1004.8,,21.4,,98,0.4,24,,,3,,,,
60,2016/1/3 13:00,1004,,21.7,,100,1.1,64,,,10.5,,,,
61,2016/1/3 14:00,1004.1,,21.7,,100,0.2,0,,,2.5,,,,
62,2016/1/3 15:00,1004.8,,22,,99,1.2,32,,,0.5,,,,
63,2016/1/3 16:00,1004.5,,22,,96,0.5,38,,,0.5,,,,
64,2016/1/3 17:00,1004.7,,21.5,,100,1.3,325,,,0,,,,
65,2016/1/3 18:00,1005.3,,21.4,,100,0.4,73,,,0,,,,
66,2016/1/3 19:00,1006.2,,21.2,,99,0,0,,,0,,,,
67,2016/1/3 20:00,1006.3,,20.9,,100,1,337,,,0,,,,
68,2016/1/3 21:00,1006,,20.7,,100,0.3,15,,,0,,,,
69,2016/1/3 22:00,1005.9,,20.5,,100,0.3,59,,,0,,,,
70,2016/1/3 23:00,1005.6,,20.6,,100,0.1,0,,,0,,,,
71,2016/1/4 00:00,1004.6,,22.1,,91,2.6,112,,,0,,,,
72,2016/1/4 01:00,1004.9,,21,,98,0,0,,,0,,,,
73,2016/1/4 02:00,1004.4,,21,,100,1.2,62,,,0,,,,
74,2016/1/4 03:00,1004.3,,20.8,,100,0.9,48,,,0,,,,
75,2016/1/4 04:00,1004.5,,21.3,,98,1.2,64,,,0,,,,
76,2016/1/4 05:00,1004.9,,21.5,,96,0.3,80,,,0,,,,
77,2016/1/4 06:00,1005.6,,20.6,,100,0.1,0,,,0,,,,
78,2016/1/4 07:00,1006.4,,22,,99,0.7,38,,,0,,,,
79,2016/1/4 08:00,1007.1,,26.6,,78,1,202,,,0,,,,
80,2016/1/4 09:00,1007,,27.7,,73,1,218,,,0,,,,
81,2016/1/4 10:00,1006.3,,27.4,,68,1.3,290,,,0,,,,
82,2016/1/4 11:00,1005.1,,28.6,,64,0.7,243,,,0,,,,
83,2016/1/4 12:00,1004.1,,28.2,,67,1.3,291,,,0,,,,
84,2016/1/4 13:00,1003.5,,27.8,,69,1.4,311,,,0,,,,
85,2016/1/4 14:00,1003.4,,27.2,,71,1.6,315,,,0,,,,
86,2016/1/4 15:00,1003.3,,26.9,,71,1,310,,,0,,,,
87,2016/1/4 16:00,1003.4,,26.1,,74,0.9,321,,,0,,,,
88,2016/1/4 17:00,1003.8,,24.9,,83,0,0,,,0,,,,
89,2016/1/4 18:00,1004.3,,24.4,,85,0.4,352,,,0,,,,
90,2016/1/4 19:00,1004.6,,23.5,,89,0,0,,,0,,,,
91,2016/1/4 20:00,1004.8,,22.9,,94,0.7,28,,,0,,,,
92,2016/1/4 21:00,1005.2,,22,,96,0.7,225,,,0,,,,
93,2016/1/4 22:00,1004.9,,21.4,,97,1,70,,,0,,,,
94,2016/1/4 23:00,1004.4,,22.8,,82,2,111,,,0,,,,
95,2016/1/5 00:00,1004.2,,22.5,,80,2.2,108,,,0,,,,
96,2016/1/5 01:00,1004.1,,22.5,,76,1.3,102,,,0,,,,
97,2016/1/5 02:00,1003.5,,22.3,,76,2.2,110,,,0,,,,
98,2016/1/5 03:00,1003,,22.5,,72,1.9,112,,,0,,,,
99,2016/1/5 04:00,1003.4,,20.9,,83,0.6,82,,,0,,,,
100,2016/1/5 05:00,1003.5,,21.4,,78,2.1,104,,,0,,,,
101,2016/1/5 06:00,1003.8,,21.2,,78,1.9,103,,,0,,,,
102,2016/1/5 07:00,1004.1,,23.4,,66,2.2,115,,,0,,,,
103,2016/1/5 08:00,1004.9,,25.8,,60,0.7,78,,,0,,,,
104,2016/1/5 09:00,1004.7,,28.4,,56,0.8,114,,,0,,,,
105,2016/1/5 10:00,1004.2,,29.4,,59,0.5,236,,,0,,,,
106,2016/1/5 11:00,1003.5,,29.6,,61,1.4,243,,,0,,,,
107,2016/1/5 12:00,1002.2,,28.7,,64,0.8,293,,,0,,,,
108,2016/1/5 13:00,1001.3,,27.8,,66,1,54,,,0,,,,
109,2016/1/5 14:00,1000.9,,27.6,,67,0.7,84,,,0,,,,
110,2016/1/5 15:00,1001.2,,26.8,,74,1.2,298,,,0,,,,
111,2016/1/5 16:00,1001.6,,25.8,,71,1.6,107,,,0,,,,
112,2016/1/5 17:00,1002.2,,24.6,,75,1.6,107,,,0,,,,
113,2016/1/5 18:00,1002.9,,24.1,,78,2,105,,,0,,,,
114,2016/1/5 19:00,1003.4,,23.4,,84,1.3,92,,,0,,,,
115,2016/1/5 20:00,1003.8,,22.9,,86,1.9,106,,,0,,,,
116,2016/1/5 21:00,1003.8,,23,,78,1.8,102,,,0,,,,
117,2016/1/5 22:00,1003.7,,22.6,,77,2.1,105,,,0,,,,
118,2016/1/5 23:00,1003.4,,22.7,,72,3.1,108,,,0,,,,
119,2016/1/6 00:00,1002.9,,22.7,,68,1.9,106,,,0,,,,
120,2016/1/6 01:00,1002.6,,22.1,,74,2.2,109,,,0,,,,
121,2016/1/6 02:00,1002.2,,21.4,,76,2.5,109,,,0,,,,
122,2016/1/6 03:00,1001.9,,21.8,,70,2.2,105,,,0,,,,
123,2016/1/6 04:00,1002,,22,,70,2.3,108,,,0,,,,
124,2016/1/6 05:00,1002.7,,21.5,,76,2.3,106,,,0,,,,
125,2016/1/6 06:00,1003,,21.5,,76,1.9,99,,,0,,,,
126,2016/1/6 07:00,1004.2,,22.3,,73,0.3,33,,,0,,,,
127,2016/1/6 08:00,1004.4,,22,,85,2.3,85,,,1,,,,
128,2016/1/6 09:00,1005.5,,22,,89,0.8,48,,,0.5,,,,
129,2016/1/6 10:00,1005,,23.4,,84,2.1,320,,,0,,,,
130,2016/1/6 11:00,1004.5,,23.1,,87,0.8,316,,,0,,,,
131,2016/1/6 12:00,1003.4,,23.2,,87,0.8,86,,,0.5,,,,
132,2016/1/6 13:00,1002,,26.7,,66,1.5,79,,,0,,,,
133,2016/1/6 14:00,1001.3,,27.5,,61,1.4,37,,,0,,,,
134,2016/1/6 15:00,1001,,27.9,,59,1.1,339,,,0,,,,
135,2016/1/6 16:00,1001.6,,25.9,,65,0.9,320,,,0,,,,
136,2016/1/6 17:00,1002.3,,23.3,,82,0.6,17,,,0,,,,
137,2016/1/6 18:00,1002.8,,21.4,,90,0.4,251,,,0,,,,
138,2016/1/6 19:00,1004,,21.1,,92,1,298,,,0,,,,
139,2016/1/6 20:00,1004.8,,20.6,,93,1,295,,,0,,,,
140,2016/1/6 21:00,1005.3,,21.1,,88,1,185,,,0,,,,
141,2016/1/6 22:00,1005.5,,19.9,,94,1.4,317,,,0,,,,
142,2016/1/6 23:00,1005.4,,19.7,,94,0.8,292,,,0,,,,
143,2016/1/7 00:00,1005.3,,19,,95,0.7,273,,,0,,,,
144,2016/1/7 01:00,1005.4,,18.8,,96,0.6,302,,,0,,,,
145,2016/1/7 02:00,1005.2,,18.6,,96,0.9,297,,,0,,,,
146,2016/1/7 03:00,1005.2,,18.5,,97,0,0,,,0,,,,
147,2016/1/7 04:00,1005.5,,18.6,,97,0.3,341,,,0,,,,
148,2016/1/7 05:00,1006.1,,18.7,,97,0,0,,,0,,,,
149,2016/1/7 06:00,1006.4,,18.4,,96,0.7,89,,,0,,,,
150,2016/1/7 07:00,1007.2,,19,,93,1,326,,,0,,,,
151,2016/1/7 08:00,1007.9,,20.5,,83,1,34,,,0,,,,
152,2016/1/7 09:00,1007.7,,23.6,,68,0.9,235,,,0,,,,
153,2016/1/7 10:00,1007,,24.2,,60,1,303,,,0,,,,
154,2016/1/7 11:00,1005.9,,25.3,,59,1.4,295,,,0,,,,
155,2016/1/7 12:00,1004.9,,24.3,,65,1.2,339,,,0,,,,
156,2016/1/7 13:00,1004.7,,24.3,,68,1.1,294,,,0,,,,
157,2016/1/7 14:00,1004.8,,23.9,,68,1.1,281,,,0,,,,
158,2016/1/7 15:00,1004.9,,23.5,,71,1.4,301,,,0,,,,
159,2016/1/7 16:00,1004.9,,22.5,,75,1.3,326,,,0,,,,
160,2016/1/7 17:00,1005.4,,21,,79,0.9,283,,,0,,,,
161,2016/1/7 18:00,1005.9,,20.2,,82,0.8,324,,,0,,,,
162,2016/1/7 19:00,1006,,19.8,,83,0.7,295,,,0,,,,
163,2016/1/7 20:00,1006.1,,19.7,,84,0.8,18,,,0,,,,
164,2016/1/7 21:00,1006.4,,19.4,,87,1,327,,,0,,,,
165,2016/1/7 22:00,1006.2,,18.7,,87,0.5,304,,,0,,,,
166,2016/1/7 23:00,1005.9,,18.4,,88,1,311,,,0,,,,
167,2016/1/8 00:00,1006,,18,,93,0,0,,,0,,,,
168,2016/1/8 01:00,1005.7,,17.8,,95,0.6,300,,,0,,,,
169,2016/1/8 02:00,1005.5,,17.5,,98,1.7,313,,,3.5,,,,
170,2016/1/8 03:00,1005.9,,16.8,,99,0.5,242,,,3.5,,,,
171,2016/1/8 04:00,1005.9,,16.6,,99,1.4,56,,,3.5,,,,
172,2016/1/8 05:00,1006,,17.3,,95,1.5,63,,,0.5,,,,
173,2016/1/8 06:00,1005.8,,17.6,,92,2.1,106,,,0,,,,
174,2016/1/8 07:00,1005.9,,18.3,,87,2.4,109,,,0,,,,
175,2016/1/8 08:00,1005.9,,19.1,,83,3,111,,,0,,,,
176,2016/1/8 09:00,1005.4,,20.9,,77,1.5,83,,,0,,,,
177,2016/1/8 10:00,1005.3,,22.3,,75,2.5,311,,,0,,,,
178,2016/1/8 11:00,1004.3,,23.8,,69,1.6,308,,,0,,,,
179,2016/1/8 12:00,1002.9,,25.3,,63,1.8,281,,,0,,,,
180,2016/1/8 13:00,1002.1,,25.6,,62,1.3,324,,,0,,,,
181,2016/1/8 14:00,1002.1,,25,,64,1.3,306,,,0,,,,
182,2016/1/8 15:00,1002.3,,23.6,,67,1.3,311,,,0,,,,
183,2016/1/8 16:00,1002.9,,22.6,,69,0.3,331,,,0,,,,
184,2016/1/8 17:00,1003.7,,21.5,,71,0.9,332,,,0,,,,
185,2016/1/8 18:00,1004.4,,20.6,,76,1.7,316,,,0,,,,
186,2016/1/8 19:00,1005.1,,18.5,,84,1,314,,,0,,,,
187,2016/1/8 20:00,1005.4,,17.7,,88,0.2,0,,,0,,,,
188,2016/1/8 21:00,1006,,17.3,,87,0.8,306,,,0,,,,
189,2016/1/8 22:00,1006.3,,16.6,,88,0.9,314,,,0,,,,
190,2016/1/8 23:00,1006.1,,16,,92,0.2,0,,,0,,,,
191,2016/1/9 00:00,1006.2,,15.3,,95,0,0,,,0,,,,
192,2016/1/9 01:00,1005.9,,15,,97,0.1,0,,,0,,,,
193,2016/1/9 02:00,1005.6,,15.3,,96,0.9,304,,,0,,,,
194,2016/1/9 03:00,1006.2,,15.4,,96,0.5,263,,,0,,,,
195,2016/1/9 04:00,1006.2,,15.5,,97,0.8,252,,,0,,,,
196,2016/1/9 05:00,1006.3,,17.7,,82,1.4,92,,,0,,,,
197,2016/1/9 06:00,1006.4,,17.9,,78,2,105,,,0,,,,
198,2016/1/9 07:00,1007.3,,16.5,,92,0.4,292,,,0,,,,
199,2016/1/9 08:00,1007.8,,18.6,,85,0.4,278,,,0,,,,
200,2016/1/9 09:00,1007.5,,23.7,,65,1,260,,,0,,,,
201,2016/1/9 10:00,1007.1,,25.3,,56,1.3,212,,,0,,,,
202,2016/1/9 11:00,1005.8,,25.8,,53,0.9,243,,,0,,,,
203,2016/1/9 12:00,1004.7,,26.4,,50,1.4,235,,,0,,,,
204,2016/1/9 13:00,1004.1,,26.5,,52,1.4,265,,,0,,,,
205,2016/1/9 14:00,1003.9,,25.7,,55,0.9,307,,,0,,,,
206,2016/1/9 15:00,1004.3,,24.9,,61,1.3,261,,,0,,,,
207,2016/1/9 16:00,1004.9,,22.7,,69,1,209,,,0,,,,
208,2016/1/9 17:00,1005.5,,20.7,,78,0.1,0,,,0,,,,
209,2016/1/9 18:00,1006,,19.3,,87,0.9,50,,,0,,,,
210,2016/1/9 19:00,1006.5,,18.7,,89,1.4,50,,,0,,,,
211,2016/1/9 20:00,1006.7,,18.6,,90,1.1,81,,,0,,,,
212,2016/1/9 21:00,1007.2,,17.9,,91,1,46,,,0,,,,
213,2016/1/9 22:00,1007,,18.3,,84,2,110,,,0,,,,
214,2016/1/9 23:00,1006.4,,18.2,,77,1.9,111,,,0,,,,
215,2016/1/10 00:00,1006.2,,17.7,,78,1.7,109,,,0,,,,
216,2016/1/10 01:00,1005.7,,17.9,,73,2.1,80,,,0,,,,
217,2016/1/10 02:00,1004.9,,18,,70,1.1,54,,,0,,,,
218,2016/1/10 03:00,1004.4,,17.3,,73,1.7,66,,,0,,,,
219,2016/1/10 04:00,1005,,15.8,,89,0.8,52,,,0,,,,
220,2016/1/10 05:00,1005.6,,15.5,,91,0,0,,,0,,,,
221,2016/1/10 06:00,1005.7,,16.1,,82,1.4,55,,,0,,,,
222,2016/1/10 07:00,1006,,19.1,,69,1,96,,,0,,,,
223,2016/1/10 08:00,1006.4,,23.6,,53,0.8,196,,,0,,,,
224,2016/1/10 09:00,1006,,24.4,,50,1.2,336,,,0,,,,
225,2016/1/10 10:00,1005,,23.8,,53,0.8,323,,,0,,,,
226,2016/1/10 11:00,1004.2,,24.4,,50,0.6,226,,,0,,,,
227,2016/1/10 12:00,1003,,25.8,,46,0.7,270,,,0,,,,
228,2016/1/10 13:00,1002.6,,25.8,,45,1,340,,,0,,,,
229,2016/1/10 14:00,1001.9,,25.5,,47,1,320,,,0,,,,
230,2016/1/10 15:00,1001.9,,25.6,,46,0.8,294,,,0,,,,
231,2016/1/10 16:00,1002.4,,23.4,,58,0.6,96,,,0,,,,
232,2016/1/10 17:00,1002.2,,21.6,,67,0.8,55,,,0,,,,
233,2016/1/10 18:00,1002.9,,22,,64,0.3,26,,,0,,,,
234,2016/1/10 19:00,1003.1,,20.3,,74,1.2,27,,,0,,,,
235,2016/1/10 20:00,1002.8,,21.6,,65,1.4,88,,,0,,,,
236,2016/1/10 21:00,1002.6,,19.8,,76,0,0,,,0,,,,
237,2016/1/10 22:00,1003.3,,18.8,,87,0.9,82,,,0,,,,
238,2016/1/10 23:00,1003.5,,18.2,,88,1.2,48,,,0,,,,
239,2016/1/11 00:00,1003,,19.8,,77,1.8,45,,,0,,,,
240,2016/1/11 01:00,1001.9,,20.8,,72,2,102,,,0,,,,
241,2016/1/11 02:00,1000.9,,21.1,,69,2.4,101,,,0,,,,
242,2016/1/11 03:00,1001.3,,19.2,,82,2,330,,,0,,,,
243,2016/1/11 04:00,1000.2,,21.3,,67,2.2,107,,,0,,,,
244,2016/1/11 05:00,1000.9,,20.2,,74,1.2,129,,,0,,,,
245,2016/1/11 06:00,1001,,21,,69,1.5,104,,,0,,,,
246,2016/1/11 07:00,1001.7,,19.7,,82,1.6,330,,,0,,,,
247,2016/1/11 08:00,1002,,22.2,,67,2.1,110,,,0,,,,
248,2016/1/11 09:00,1002.3,,20.6,,85,1.3,340,,,0,,,,
249,2016/1/11 10:00,1002.1,,20,,93,1.4,325,,,0,,,,
250,2016/1/11 11:00,1001.3,,22.6,,81,1.2,38,,,0,,,,
251,2016/1/11 12:00,1000.1,,25.7,,64,1.5,63,,,0,,,,
252,2016/1/11 13:00,999.4,,27.5,,62,1.6,312,,,0,,,,
253,2016/1/11 14:00,999.3,,26.5,,61,1.8,334,,,0,,,,
254,2016/1/11 15:00,999.1,,25.5,,68,1.7,307,,,0,,,,
255,2016/1/11 16:00,1000.5,,22.8,,78,1.5,312,,,0,,,,
256,2016/1/11 17:00,1001.8,,20.1,,87,0.5,15,,,0,,,,
257,2016/1/11 18:00,1002.2,,19.3,,88,0.6,287,,,0,,,,
258,2016/1/11 19:00,1003.3,,19,,88,1.4,318,,,0,,,,
259,2016/1/11 20:00,1003,,19.9,,86,0.8,351,,,0,,,,
260,2016/1/11 21:00,1003.2,,19,,91,0.6,349,,,0,,,,
261,2016/1/11 22:00,1003.1,,19.1,,93,0.9,9,,,0,,,,
262,2016/1/11 23:00,1003.2,,18.6,,94,0.4,301,,,0,,,,
263,2016/1/12 00:00,1003.2,,17.9,,97,0.5,163,,,0,,,,
264,2016/1/12 01:00,1002.8,,17.6,,98,0.4,310,,,0,,,,
265,2016/1/12 02:00,1002.5,,17.3,,98,1.2,286,,,0,,,,
266,2016/1/12 03:00,1003,,17.2,,98,0.4,251,,,0,,,,
267,2016/1/12 04:00,1002.8,,17.5,,98,1.2,285,,,0,,,,
268,2016/1/12 05:00,1003.7,,17.2,,98,0,0,,,0,,,,
269,2016/1/12 06:00,1004,,17.1,,98,0.1,0,,,0,,,,
270,2016/1/12 07:00,1004.8,,17.3,,98,0.8,332,,,0,,,,
271,2016/1/12 08:00,1005.3,,17.9,,97,1,335,,,0,,,,
272,2016/1/12 09:00,1005.1,,21.1,,82,0.6,287,,,0,,,,
273,2016/1/12 10:00,1004.3,,25.2,,67,0.8,242,,,0,,,,
274,2016/1/12 11:00,1003.5,,25.2,,65,1.4,264,,,0,,,,
275,2016/1/12 12:00,1002.7,,23.8,,71,1.7,303,,,0,,,,
276,2016/1/12 13:00,1002.5,,22.9,,74,0.6,206,,,0,,,,
277,2016/1/12 14:00,1002.6,,21.5,,83,0,0,,,0,,,,
278,2016/1/12 15:00,1002.9,,20.6,,92,0.5,158,,,0,,,,
279,2016/1/12 16:00,1002.8,,20.8,,92,0.8,73,,,0,,,,
280,2016/1/12 17:00,1003.1,,20.7,,93,0.3,27,,,0.5,,,,
281,2016/1/12 18:00,1004.2,,20,,94,0.7,26,,,0,,,,
282,2016/1/12 19:00,1004.5,,19.5,,89,1.2,313,,,0,,,,
283,2016/1/12 20:00,1004.9,,19,,89,0.2,0,,,0,,,,
284,2016/1/12 21:00,1005.7,,18.5,,87,0.9,310,,,0,,,,
285,2016/1/12 22:00,1006.1,,18.2,,87,0.7,286,,,0,,,,
286,2016/1/12 23:00,1004.6,,17.7,,91,1.4,319,,,0,,,,
287,2016/1/13 00:00,1005,,17.6,,92,0,0,,,0,,,,
288,2016/1/13 01:00,1004.3,,18.2,,91,1.4,83,,,0,,,,
289,2016/1/13 02:00,1004,,16.7,,98,1.6,213,,,0.5,,,,
290,2016/1/13 03:00,1003.8,,16.4,,99,1.5,324,,,1,,,,
291,2016/1/13 04:00,1004.4,,16.6,,100,0.5,312,,,0,,,,
292,2016/1/13 05:00,1005.3,,16.7,,100,1.1,315,,,0.5,,,,
293,2016/1/13 06:00,1005.7,,16.2,,100,0.1,0,,,0,,,,
294,2016/1/13 07:00,1006.1,,16.1,,100,0.6,275,,,0.5,,,,
295,2016/1/13 08:00,1006.2,,16.3,,100,0.3,334,,,0.5,,,,
296,2016/1/13 09:00,1007.1,,16.7,,100,0.8,295,,,1,,,,
297,2016/1/13 10:00,1007,,17,,100,0.4,26,,,0.5,,,,
298,2016/1/13 11:00,1005.9,,16.6,,100,1.3,323,,,0,,,,
299,2016/1/13 12:00,1004,,17.6,,100,1.7,301,,,0,,,,
300,2016/1/13 13:00,1004.1,,16.9,,99,0.4,335,,,1,,,,
301,2016/1/13 14:00,1003.9,,17.2,,99,0.8,333,,,0.5,,,,
302,2016/1/13 15:00,1004.8,,17,,99,0.1,0,,,0.5,,,,
303,2016/1/13 16:00,1005,,17.1,,98,0.3,316,,,0,,,,
304,2016/1/13 17:00,1005.3,,16.7,,98,0.4,336,,,0.5,,,,
305,2016/1/13 18:00,1006,,16.1,,99,0.5,296,,,0,,,,
306,2016/1/13 19:00,1006.1,,15.9,,100,0.2,0,,,0,,,,
307,2016/1/13 20:00,1005.7,,17.1,,97,2.1,325,,,0,,,,
308,2016/1/13 21:00,1005.7,,16.1,,100,0.9,232,,,0.5,,,,
309,2016/1/13 22:00,1005.8,,15.9,,100,0,0,,,0,,,,
310,2016/1/13 23:00,1005.6,,15.9,,100,1.2,311,,,0,,,,
311,2016/1/14 00:00,1005.7,,15.3,,100,0.9,299,,,0,,,,
312,2016/1/14 01:00,1005.1,,15.2,,100,1.1,305,,,0,,,,
313,2016/1/14 02:00,1004.5,,15.2,,100,0.8,286,,,0,,,,
314,2016/1/14 03:00,1004.7,,15.1,,100,0.4,235,,,0,,,,
315,2016/1/14 04:00,1005.3,,15.1,,100,0.2,0,,,0,,,,
316,2016/1/14 05:00,1004.6,,15.8,,100,1.6,110,,,0,,,,
317,2016/1/14 06:00,1006.3,,15,,100,0.6,332,,,0,,,,
318,2016/1/14 07:00,1006.8,,15.7,,100,1.6,311,,,0,,,,
319,2016/1/14 08:00,1007.1,,16.5,,100,0.7,323,,,0,,,,
320,2016/1/14 09:00,1006.8,,17.7,,95,1.6,298,,,0,,,,
321,2016/1/14 10:00,1006.8,,18.1,,91,0.8,327,,,0,,,,
322,2016/1/14 11:00,1005.1,,20.3,,80,1.1,161,,,0,,,,
323,2016/1/14 12:00,1004,,20.3,,81,0.3,220,,,0,,,,
324,2016/1/14 13:00,1002.6,,20.8,,76,0.9,25,,,0,,,,
325,2016/1/14 14:00,1002.3,,22.1,,68,1.2,327,,,0,,,,
326,2016/1/14 15:00,1002.5,,21.6,,71,1.2,249,,,0,,,,
327,2016/1/14 16:00,1003.2,,20.8,,74,0,0,,,0,,,,
328,2016/1/14 17:00,1004.1,,19,,78,1.6,322,,,0,,,,
329,2016/1/14 18:00,1004.8,,18.1,,83,0.6,213,,,0,,,,
330,2016/1/14 19:00,1005,,17.4,,88,0.4,89,,,0,,,,
331,2016/1/14 20:00,1005.1,,17.7,,85,0.8,339,,,0,,,,
332,2016/1/14 21:00,1004.5,,18.2,,82,2,108,,,0,,,,
333,2016/1/14 22:00,1004.1,,18.4,,76,1.6,88,,,0,,,,
334,2016/1/14 23:00,1003,,16.4,,91,1.1,23,,,0,,,,
335,2016/1/15 00:00,1002.6,,16.5,,82,1.5,70,,,0,,,,
336,2016/1/15 01:00,1002,,16,,86,1.5,48,,,0,,,,
337,2016/1/15 02:00,1002.2,,16.9,,82,0.7,91,,,0,,,,
338,2016/1/15 03:00,1001,,17.3,,69,1.5,92,,,0,,,,
339,2016/1/15 04:00,1001.3,,17.3,,67,1.4,102,,,0,,,,
340,2016/1/15 05:00,1001.3,,16.9,,71,1.4,31,,,0,,,,
341,2016/1/15 06:00,1001.7,,18,,59,0.8,197,,,0,,,,
342,2016/1/15 07:00,1002.5,,17.1,,75,0.9,340,,,0,,,,
343,2016/1/15 08:00,1002.7,,19.1,,69,0.4,203,,,0,,,,
344,2016/1/15 09:00,1003.6,,18.6,,77,0.6,334,,,0,,,,
